constructorResultsId,raceId,constructorId,points,date,constructor_results_rownum
73,24,10,0.0,2008-06-08 17:00:00,constructor_results_73
74,24,4,0.0,2008-06-08 17:00:00,constructor_results_74
75,25,6,18.0,2008-06-22 12:00:00,constructor_results_75
76,25,7,6.0,2008-06-22 12:00:00,constructor_results_76
77,25,1,5.0,2008-06-22 12:00:00,constructor_results_77
78,25,2,4.0,2008-06-22 12:00:00,constructor_results_78
79,25,9,3.0,2008-06-22 12:00:00,constructor_results_79
80,25,4,3.0,2008-06-22 12:00:00,constructor_results_80
81,25,5,0.0,2008-06-22 12:00:00,constructor_results_81
82,25,11,0.0,2008-06-22 12:00:00,constructor_results_82
83,25,3,0.0,2008-06-22 12:00:00,constructor_results_83
84,25,10,0.0,2008-06-22 12:00:00,constructor_results_84
85,26,1,14.0,2008-07-06 12:00:00,constructor_results_85
86,26,2,8.0,2008-07-06 12:00:00,constructor_results_86
87,26,11,6.0,2008-07-06 12:00:00,constructor_results_87
88,26,6,5.0,2008-07-06 12:00:00,constructor_results_88
89,26,4,3.0,2008-07-06 12:00:00,constructor_results_89
90,26,7,2.0,2008-07-06 12:00:00,constructor_results_90
91,26,3,1.0,2008-07-06 12:00:00,constructor_results_91
92,26,9,0.0,2008-07-06 12:00:00,constructor_results_92
93,26,5,0.0,2008-07-06 12:00:00,constructor_results_93
94,26,10,0.0,2008-07-06 12:00:00,constructor_results_94
95,27,1,14.0,2008-07-20 12:00:00,constructor_results_95
96,27,4,8.0,2008-07-20 12:00:00,constructor_results_96
97,27,6,9.0,2008-07-20 12:00:00,constructor_results_97
98,27,2,7.0,2008-07-20 12:00:00,constructor_results_98
99,27,5,1.0,2008-07-20 12:00:00,constructor_results_99
100,27,7,0.0,2008-07-20 12:00:00,constructor_results_100
101,27,3,0.0,2008-07-20 12:00:00,constructor_results_101
102,27,9,0.0,2008-07-20 12:00:00,constructor_results_102
103,27,10,0.0,2008-07-20 12:00:00,constructor_results_103
104,27,11,0.0,2008-07-20 12:00:00,constructor_results_104
105,28,1,14.0,2008-08-03 12:00:00,constructor_results_105
106,28,7,10.0,2008-08-03 12:00:00,constructor_results_106
107,28,6,6.0,2008-08-03 12:00:00,constructor_results_107
108,28,4,8.0,2008-08-03 12:00:00,constructor_results_108
109,28,2,1.0,2008-08-03 12:00:00,constructor_results_109
110,28,9,0.0,2008-08-03 12:00:00,constructor_results_110
111,28,11,0.0,2008-08-03 12:00:00,constructor_results_111
112,28,3,0.0,2008-08-03 12:00:00,constructor_results_112
113,28,10,0.0,2008-08-03 12:00:00,constructor_results_113
114,28,5,0.0,2008-08-03 12:00:00,constructor_results_114
115,29,6,10.0,2008-08-24 12:00:00,constructor_results_115
116,29,1,13.0,2008-08-24 12:00:00,constructor_results_116
117,29,2,6.0,2008-08-24 12:00:00,constructor_results_117
118,29,7,6.0,2008-08-24 12:00:00,constructor_results_118
119,29,5,3.0,2008-08-24 12:00:00,constructor_results_119
120,29,3,1.0,2008-08-24 12:00:00,constructor_results_120
121,29,4,0.0,2008-08-24 12:00:00,constructor_results_121
122,29,9,0.0,2008-08-24 12:00:00,constructor_results_122
123,29,11,0.0,2008-08-24 12:00:00,constructor_results_123
124,29,10,0.0,2008-08-24 12:00:00,constructor_results_124
125,30,6,10.0,2008-09-07 12:00:00,constructor_results_125
126,30,2,11.0,2008-09-07 12:00:00,constructor_results_126
127,30,1,6.0,2008-09-07 12:00:00,constructor_results_127
128,30,4,5.0,2008-09-07 12:00:00,constructor_results_128
129,30,5,6.0,2008-09-07 12:00:00,constructor_results_129
130,30,9,1.0,2008-09-07 12:00:00,constructor_results_130
131,30,7,0.0,2008-09-07 12:00:00,constructor_results_131
132,30,3,0.0,2008-09-07 12:00:00,constructor_results_132
133,30,10,0.0,2008-09-07 12:00:00,constructor_results_133
134,30,11,0.0,2008-09-07 12:00:00,constructor_results_134
135,31,5,10.0,2008-09-14 12:00:00,constructor_results_135
136,31,1,10.0,2008-09-14 12:00:00,constructor_results_136
137,31,2,10.0,2008-09-14 12:00:00,constructor_results_137
138,31,4,5.0,2008-09-14 12:00:00,constructor_results_138
139,31,6,3.0,2008-09-14 12:00:00,constructor_results_139
140,31,9,1.0,2008-09-14 12:00:00,constructor_results_140
141,31,7,0.0,2008-09-14 12:00:00,constructor_results_141
142,31,3,0.0,2008-09-14 12:00:00,constructor_results_142
143,31,11,0.0,2008-09-14 12:00:00,constructor_results_143
144,31,10,0.0,2008-09-14 12:00:00,constructor_results_144
145,32,4,10.0,2008-09-28 12:00:00,constructor_results_145
146,32,3,9.0,2008-09-28 12:00:00,constructor_results_146
147,32,1,6.0,2008-09-28 12:00:00,constructor_results_147
148,32,7,5.0,2008-09-28 12:00:00,constructor_results_148
149,32,5,4.0,2008-09-28 12:00:00,constructor_results_149
150,32,2,3.0,2008-09-28 12:00:00,constructor_results_150
151,32,9,2.0,2008-09-28 12:00:00,constructor_results_151
152,32,11,0.0,2008-09-28 12:00:00,constructor_results_152
153,32,6,0.0,2008-09-28 12:00:00,constructor_results_153
154,32,10,0.0,2008-09-28 12:00:00,constructor_results_154
155,33,4,15.0,2008-10-12 04:30:00,constructor_results_155
156,33,2,8.0,2008-10-12 04:30:00,constructor_results_156
157,33,6,8.0,2008-10-12 04:30:00,constructor_results_157
158,33,7,4.0,2008-10-12 04:30:00,constructor_results_158
159,33,5,3.0,2008-10-12 04:30:00,constructor_results_159
160,33,9,1.0,2008-10-12 04:30:00,constructor_results_160
161,33,3,0.0,2008-10-12 04:30:00,constructor_results_161
162,33,1,0.0,2008-10-12 04:30:00,constructor_results_162
163,33,11,0.0,2008-10-12 04:30:00,constructor_results_163
164,33,10,0.0,2008-10-12 04:30:00,constructor_results_164
165,34,1,10.0,2008-10-19 07:00:00,constructor_results_165
166,34,6,14.0,2008-10-19 07:00:00,constructor_results_166
167,34,4,6.0,2008-10-19 07:00:00,constructor_results_167
168,34,2,7.0,2008-10-19 07:00:00,constructor_results_168
169,34,7,2.0,2008-10-19 07:00:00,constructor_results_169
170,34,5,0.0,2008-10-19 07:00:00,constructor_results_170
171,34,9,0.0,2008-10-19 07:00:00,constructor_results_171
172,34,11,0.0,2008-10-19 07:00:00,constructor_results_172
173,34,3,0.0,2008-10-19 07:00:00,constructor_results_173
174,34,10,0.0,2008-10-19 07:00:00,constructor_results_174
175,35,6,16.0,2008-11-02 17:00:00,constructor_results_175
176,35,4,8.0,2008-11-02 17:00:00,constructor_results_176
177,35,5,5.0,2008-11-02 17:00:00,constructor_results_177
178,35,1,6.0,2008-11-02 17:00:00,constructor_results_178
179,35,7,4.0,2008-11-02 17:00:00,constructor_results_179
180,35,9,0.0,2008-11-02 17:00:00,constructor_results_180
181,35,2,0.0,2008-11-02 17:00:00,constructor_results_181
182,35,3,0.0,2008-11-02 17:00:00,constructor_results_182
183,35,11,0.0,2008-11-02 17:00:00,constructor_results_183
184,35,10,0.0,2008-11-02 17:00:00,constructor_results_184
185,36,6,13.0,2007-03-18 03:00:00,constructor_results_185
186,36,1,14.0,2007-03-18 03:00:00,constructor_results_186
187,36,2,5.0,2007-03-18 03:00:00,constructor_results_187
188,36,4,4.0,2007-03-18 03:00:00,constructor_results_188
189,36,3,2.0,2007-03-18 03:00:00,constructor_results_189
190,36,7,1.0,2007-03-18 03:00:00,constructor_results_190
191,36,11,0.0,2007-03-18 03:00:00,constructor_results_191
192,36,8,0.0,2007-03-18 03:00:00,constructor_results_192
193,36,9,0.0,2007-03-18 03:00:00,constructor_results_193
194,36,5,0.0,2007-03-18 03:00:00,constructor_results_194
195,36,12,0.0,2007-03-18 03:00:00,constructor_results_195
196,37,1,18.0,2007-04-08 07:00:00,constructor_results_196
197,37,6,10.0,2007-04-08 07:00:00,constructor_results_197
198,37,2,5.0,2007-04-08 07:00:00,constructor_results_198
199,37,4,4.0,2007-04-08 07:00:00,constructor_results_199
200,37,7,2.0,2007-04-08 07:00:00,constructor_results_200
201,37,3,0.0,2007-04-08 07:00:00,constructor_results_201
202,37,9,0.0,2007-04-08 07:00:00,constructor_results_202
203,37,11,0.0,2007-04-08 07:00:00,constructor_results_203
204,37,8,0.0,2007-04-08 07:00:00,constructor_results_204
205,37,5,0.0,2007-04-08 07:00:00,constructor_results_205
206,37,12,0.0,2007-04-08 07:00:00,constructor_results_206
207,38,6,16.0,2007-04-15 11:30:00,constructor_results_207
208,38,1,12.0,2007-04-15 11:30:00,constructor_results_208
209,38,2,8.0,2007-04-15 11:30:00,constructor_results_209
210,38,7,2.0,2007-04-15 11:30:00,constructor_results_210
211,38,4,1.0,2007-04-15 11:30:00,constructor_results_211
212,38,3,0.0,2007-04-15 11:30:00,constructor_results_212
213,38,11,0.0,2007-04-15 11:30:00,constructor_results_213
214,38,12,0.0,2007-04-15 11:30:00,constructor_results_214
215,38,8,0.0,2007-04-15 11:30:00,constructor_results_215
216,38,9,0.0,2007-04-15 11:30:00,constructor_results_216
217,38,5,0.0,2007-04-15 11:30:00,constructor_results_217
218,39,6,10.0,2007-05-13 12:00:00,constructor_results_218
219,39,1,14.0,2007-05-13 12:00:00,constructor_results_219
220,39,2,5.0,2007-05-13 12:00:00,constructor_results_220
221,39,9,4.0,2007-05-13 12:00:00,constructor_results_221
222,39,3,3.0,2007-05-13 12:00:00,constructor_results_222
223,39,4,2.0,2007-05-13 12:00:00,constructor_results_223
224,39,8,1.0,2007-05-13 12:00:00,constructor_results_224
225,39,11,0.0,2007-05-13 12:00:00,constructor_results_225
226,39,12,0.0,2007-05-13 12:00:00,constructor_results_226
227,39,7,0.0,2007-05-13 12:00:00,constructor_results_227
228,39,5,0.0,2007-05-13 12:00:00,constructor_results_228
229,40,1,18.0,2007-05-27 12:00:00,constructor_results_229
230,40,6,7.0,2007-05-27 12:00:00,constructor_results_230
231,40,4,5.0,2007-05-27 12:00:00,constructor_results_231
232,40,2,7.0,2007-05-27 12:00:00,constructor_results_232
233,40,3,2.0,2007-05-27 12:00:00,constructor_results_233
234,40,5,0.0,2007-05-27 12:00:00,constructor_results_234
235,40,11,0.0,2007-05-27 12:00:00,constructor_results_235
236,40,9,0.0,2007-05-27 12:00:00,constructor_results_236
237,40,7,0.0,2007-05-27 12:00:00,constructor_results_237
238,40,8,0.0,2007-05-27 12:00:00,constructor_results_238
239,40,12,0.0,2007-05-27 12:00:00,constructor_results_239
240,41,1,12.0,2007-06-10 17:00:00,constructor_results_240
241,41,2,8.0,2007-06-10 17:00:00,constructor_results_241
242,41,3,6.0,2007-06-10 17:00:00,constructor_results_242
243,41,4,5.0,2007-06-10 17:00:00,constructor_results_243
244,41,6,4.0,2007-06-10 17:00:00,constructor_results_244
245,41,8,3.0,2007-06-10 17:00:00,constructor_results_245
246,41,7,1.0,2007-06-10 17:00:00,constructor_results_246
247,41,9,0.0,2007-06-10 17:00:00,constructor_results_247
248,41,11,0.0,2007-06-10 17:00:00,constructor_results_248
249,41,5,0.0,2007-06-10 17:00:00,constructor_results_249
250,41,12,0.0,2007-06-10 17:00:00,constructor_results_250
251,42,1,18.0,2007-06-17 17:00:00,constructor_results_251
252,42,6,11.0,2007-06-17 17:00:00,constructor_results_252
253,42,4,4.0,2007-06-17 17:00:00,constructor_results_253
254,42,7,3.0,2007-06-17 17:00:00,constructor_results_254
255,42,9,2.0,2007-06-17 17:00:00,constructor_results_255
256,42,2,1.0,2007-06-17 17:00:00,constructor_results_256
257,42,3,0.0,2007-06-17 17:00:00,constructor_results_257
258,42,8,0.0,2007-06-17 17:00:00,constructor_results_258
259,42,11,0.0,2007-06-17 17:00:00,constructor_results_259
260,42,5,0.0,2007-06-17 17:00:00,constructor_results_260
261,42,12,0.0,2007-06-17 17:00:00,constructor_results_261
262,43,6,18.0,2007-07-01 12:00:00,constructor_results_262
263,43,1,8.0,2007-07-01 12:00:00,constructor_results_263
264,43,2,9.0,2007-07-01 12:00:00,constructor_results_264
265,43,4,3.0,2007-07-01 12:00:00,constructor_results_265
266,43,11,1.0,2007-07-01 12:00:00,constructor_results_266
267,43,3,0.0,2007-07-01 12:00:00,constructor_results_267
268,43,7,0.0,2007-07-01 12:00:00,constructor_results_268
269,43,9,0.0,2007-07-01 12:00:00,constructor_results_269
270,43,8,0.0,2007-07-01 12:00:00,constructor_results_270
271,43,12,0.0,2007-07-01 12:00:00,constructor_results_271
272,43,5,0.0,2007-07-01 12:00:00,constructor_results_272
273,44,6,14.0,2007-07-08 12:00:00,constructor_results_273
274,44,1,14.0,2007-07-08 12:00:00,constructor_results_274
275,44,2,8.0,2007-07-08 12:00:00,constructor_results_275
276,44,4,3.0,2007-07-08 12:00:00,constructor_results_276
277,44,11,0.0,2007-07-08 12:00:00,constructor_results_277
278,44,9,0.0,2007-07-08 12:00:00,constructor_results_278
279,44,3,0.0,2007-07-08 12:00:00,constructor_results_279
280,44,8,0.0,2007-07-08 12:00:00,constructor_results_280
281,44,12,0.0,2007-07-08 12:00:00,constructor_results_281
282,44,5,0.0,2007-07-08 12:00:00,constructor_results_282
283,44,7,0.0,2007-07-08 12:00:00,constructor_results_283
284,45,1,10.0,2007-07-22 12:00:00,constructor_results_284
285,45,6,8.0,2007-07-22 12:00:00,constructor_results_285
286,45,9,10.0,2007-07-22 12:00:00,constructor_results_286
287,45,3,5.0,2007-07-22 12:00:00,constructor_results_287
288,45,2,5.0,2007-07-22 12:00:00,constructor_results_288
289,45,4,1.0,2007-07-22 12:00:00,constructor_results_289
290,45,11,0.0,2007-07-22 12:00:00,constructor_results_290
291,45,8,0.0,2007-07-22 12:00:00,constructor_results_291
292,45,7,0.0,2007-07-22 12:00:00,constructor_results_292
293,45,12,0.0,2007-07-22 12:00:00,constructor_results_293
294,45,5,0.0,2007-07-22 12:00:00,constructor_results_294
295,46,1,15.0,2007-08-05 12:00:00,constructor_results_295
296,46,6,8.0,2007-08-05 12:00:00,constructor_results_296
297,46,2,10.0,2007-08-05 12:00:00,constructor_results_297
298,46,7,3.0,2007-08-05 12:00:00,constructor_results_298
299,46,3,2.0,2007-08-05 12:00:00,constructor_results_299
300,46,4,1.0,2007-08-05 12:00:00,constructor_results_300
301,46,9,0.0,2007-08-05 12:00:00,constructor_results_301
302,46,8,0.0,2007-08-05 12:00:00,constructor_results_302
303,46,5,0.0,2007-08-05 12:00:00,constructor_results_303
304,46,12,0.0,2007-08-05 12:00:00,constructor_results_304
305,46,11,0.0,2007-08-05 12:00:00,constructor_results_305
306,47,6,18.0,2007-08-26 12:00:00,constructor_results_306
307,47,1,10.0,2007-08-26 12:00:00,constructor_results_307
308,47,2,6.0,2007-08-26 12:00:00,constructor_results_308
309,47,4,3.0,2007-08-26 12:00:00,constructor_results_309
310,47,3,2.0,2007-08-26 12:00:00,constructor_results_310
311,47,9,0.0,2007-08-26 12:00:00,constructor_results_311
312,47,7,0.0,2007-08-26 12:00:00,constructor_results_312
313,47,11,0.0,2007-08-26 12:00:00,constructor_results_313
314,47,8,0.0,2007-08-26 12:00:00,constructor_results_314
315,47,5,0.0,2007-08-26 12:00:00,constructor_results_315
316,47,12,0.0,2007-08-26 12:00:00,constructor_results_316
317,48,1,18.0,2007-09-09 12:00:00,constructor_results_317
318,48,6,6.0,2007-09-09 12:00:00,constructor_results_318
319,48,2,9.0,2007-09-09 12:00:00,constructor_results_319
320,48,3,3.0,2007-09-09 12:00:00,constructor_results_320
321,48,4,2.0,2007-09-09 12:00:00,constructor_results_321
322,48,11,1.0,2007-09-09 12:00:00,constructor_results_322
323,48,9,0.0,2007-09-09 12:00:00,constructor_results_323
324,48,7,0.0,2007-09-09 12:00:00,constructor_results_324
325,48,8,0.0,2007-09-09 12:00:00,constructor_results_325
326,48,5,0.0,2007-09-09 12:00:00,constructor_results_326
327,48,12,0.0,2007-09-09 12:00:00,constructor_results_327
328,49,6,18.0,2007-09-16 12:00:00,constructor_results_328
329,49,1,11.0,2007-09-16 12:00:00,constructor_results_329
330,49,2,4.0,2007-09-16 12:00:00,constructor_results_330
331,49,3,3.0,2007-09-16 12:00:00,constructor_results_331
332,49,9,2.0,2007-09-16 12:00:00,constructor_results_332
333,49,4,1.0,2007-09-16 12:00:00,constructor_results_333
334,49,7,0.0,2007-09-16 12:00:00,constructor_results_334
335,49,5,0.0,2007-09-16 12:00:00,constructor_results_335
336,49,11,0.0,2007-09-16 12:00:00,constructor_results_336
337,49,12,0.0,2007-09-16 12:00:00,constructor_results_337
338,49,8,0.0,2007-09-16 12:00:00,constructor_results_338
339,50,1,10.0,2007-09-30 04:30:00,constructor_results_339
340,50,4,12.0,2007-09-30 04:30:00,constructor_results_340
341,50,6,9.0,2007-09-30 04:30:00,constructor_results_341
342,50,9,5.0,2007-09-30 04:30:00,constructor_results_342
343,50,2,2.0,2007-09-30 04:30:00,constructor_results_343
344,50,12,1.0,2007-09-30 04:30:00,constructor_results_344
345,50,5,0.0,2007-09-30 04:30:00,constructor_results_345
346,50,11,0.0,2007-09-30 04:30:00,constructor_results_346
347,50,7,0.0,2007-09-30 04:30:00,constructor_results_347
348,50,8,0.0,2007-09-30 04:30:00,constructor_results_348
349,50,3,0.0,2007-09-30 04:30:00,constructor_results_349
350,51,6,16.0,2007-10-07 06:00:00,constructor_results_350
351,51,1,8.0,2007-10-07 06:00:00,constructor_results_351
352,51,5,8.0,2007-10-07 06:00:00,constructor_results_352
353,51,11,4.0,2007-10-07 06:00:00,constructor_results_353
354,51,2,2.0,2007-10-07 06:00:00,constructor_results_354
355,51,9,1.0,2007-10-07 06:00:00,constructor_results_355
356,51,4,0.0,2007-10-07 06:00:00,constructor_results_356
357,51,3,0.0,2007-10-07 06:00:00,constructor_results_357
358,51,7,0.0,2007-10-07 06:00:00,constructor_results_358
359,51,8,0.0,2007-10-07 06:00:00,constructor_results_359
360,51,12,0.0,2007-10-07 06:00:00,constructor_results_360
361,52,6,18.0,2007-10-21 16:00:00,constructor_results_361
362,52,1,8.0,2007-10-21 16:00:00,constructor_results_362
363,52,3,5.0,2007-10-21 16:00:00,constructor_results_363
364,52,2,7.0,2007-10-21 16:00:00,constructor_results_364
365,52,7,1.0,2007-10-21 16:00:00,constructor_results_365
366,52,9,0.0,2007-10-21 16:00:00,constructor_results_366
367,52,8,0.0,2007-10-21 16:00:00,constructor_results_367
368,52,5,0.0,2007-10-21 16:00:00,constructor_results_368
369,52,12,0.0,2007-10-21 16:00:00,constructor_results_369
370,52,11,0.0,2007-10-21 16:00:00,constructor_results_370
371,52,4,0.0,2007-10-21 16:00:00,constructor_results_371
372,53,4,10.0,2006-03-12 14:30:00,constructor_results_372
373,53,6,8.0,2006-03-12 14:30:00,constructor_results_373
374,53,1,10.0,2006-03-12 14:30:00,constructor_results_374
375,53,11,5.0,2006-03-12 14:30:00,constructor_results_375
376,53,3,5.0,2006-03-12 14:30:00,constructor_results_376
377,53,9,1.0,2006-03-12 14:30:00,constructor_results_377
378,53,5,0.0,2006-03-12 14:30:00,constructor_results_378
379,53,2,0.0,2006-03-12 14:30:00,constructor_results_379
380,53,7,0.0,2006-03-12 14:30:00,constructor_results_380
381,53,13,0.0,2006-03-12 14:30:00,constructor_results_381
382,53,8,0.0,2006-03-12 14:30:00,constructor_results_382
383,54,4,18.0,2006-03-19 15:00:00,constructor_results_383
384,54,11,6.0,2006-03-19 15:00:00,constructor_results_384
385,54,1,5.0,2006-03-19 15:00:00,constructor_results_385
386,54,6,7.0,2006-03-19 15:00:00,constructor_results_386
387,54,2,2.0,2006-03-19 15:00:00,constructor_results_387
388,54,7,1.0,2006-03-19 15:00:00,constructor_results_388
389,54,5,0.0,2006-03-19 15:00:00,constructor_results_389
390,54,13,0.0,2006-03-19 15:00:00,constructor_results_390
391,54,8,0.0,2006-03-19 15:00:00,constructor_results_391
392,54,9,0.0,2006-03-19 15:00:00,constructor_results_392
393,54,3,0.0,2006-03-19 15:00:00,constructor_results_393
394,55,4,14.0,2006-04-02 14:00:00,constructor_results_394
395,55,1,8.0,2006-04-02 14:00:00,constructor_results_395
396,55,7,6.0,2006-04-02 14:00:00,constructor_results_396
397,55,2,8.0,2006-04-02 14:00:00,constructor_results_397
398,55,11,2.0,2006-04-02 14:00:00,constructor_results_398
399,55,9,1.0,2006-04-02 14:00:00,constructor_results_399
400,55,5,0.0,2006-04-02 14:00:00,constructor_results_400
401,55,13,0.0,2006-04-02 14:00:00,constructor_results_401
402,55,8,0.0,2006-04-02 14:00:00,constructor_results_402
403,55,6,0.0,2006-04-02 14:00:00,constructor_results_403
404,55,3,0.0,2006-04-02 14:00:00,constructor_results_404
405,56,6,15.0,2006-04-23 14:00:00,constructor_results_405
406,56,4,9.0,2006-04-23 14:00:00,constructor_results_406
407,56,1,10.0,2006-04-23 14:00:00,constructor_results_407
408,56,3,3.0,2006-04-23 14:00:00,constructor_results_408
409,56,11,2.0,2006-04-23 14:00:00,constructor_results_409
410,56,7,0.0,2006-04-23 14:00:00,constructor_results_410
411,56,2,0.0,2006-04-23 14:00:00,constructor_results_411
412,56,5,0.0,2006-04-23 14:00:00,constructor_results_412
413,56,13,0.0,2006-04-23 14:00:00,constructor_results_413
414,56,9,0.0,2006-04-23 14:00:00,constructor_results_414
415,56,8,0.0,2006-04-23 14:00:00,constructor_results_415
416,57,6,16.0,2006-05-07 14:00:00,constructor_results_416
417,57,4,11.0,2006-05-07 14:00:00,constructor_results_417
418,57,1,5.0,2006-05-07 14:00:00,constructor_results_418
419,57,11,4.0,2006-05-07 14:00:00,constructor_results_419
420,57,3,2.0,2006-05-07 14:00:00,constructor_results_420
421,57,2,1.0,2006-05-07 14:00:00,constructor_results_421
422,57,7,0.0,2006-05-07 14:00:00,constructor_results_422
423,57,5,0.0,2006-05-07 14:00:00,constructor_results_423
424,57,13,0.0,2006-05-07 14:00:00,constructor_results_424
425,57,8,0.0,2006-05-07 14:00:00,constructor_results_425
426,57,9,0.0,2006-05-07 14:00:00,constructor_results_426
427,58,4,16.0,2006-05-14 14:00:00,constructor_results_427
428,58,6,13.0,2006-05-14 14:00:00,constructor_results_428
429,58,1,4.0,2006-05-14 14:00:00,constructor_results_429
430,58,11,5.0,2006-05-14 14:00:00,constructor_results_430
431,58,2,1.0,2006-05-14 14:00:00,constructor_results_431
432,58,3,0.0,2006-05-14 14:00:00,constructor_results_432
433,58,7,0.0,2006-05-14 14:00:00,constructor_results_433
434,58,9,0.0,2006-05-14 14:00:00,constructor_results_434
435,58,5,0.0,2006-05-14 14:00:00,constructor_results_435
436,58,13,0.0,2006-05-14 14:00:00,constructor_results_436
437,58,8,0.0,2006-05-14 14:00:00,constructor_results_437
438,59,4,13.0,2006-05-28 14:00:00,constructor_results_438
439,59,1,8.0,2006-05-28 14:00:00,constructor_results_439
440,59,9,6.0,2006-05-28 14:00:00,constructor_results_440
441,59,11,5.0,2006-05-28 14:00:00,constructor_results_441
442,59,6,4.0,2006-05-28 14:00:00,constructor_results_442
443,59,2,2.0,2006-05-28 14:00:00,constructor_results_443
444,59,7,1.0,2006-05-28 14:00:00,constructor_results_444
445,59,5,0.0,2006-05-28 14:00:00,constructor_results_445
446,59,13,0.0,2006-05-28 14:00:00,constructor_results_446
447,59,8,0.0,2006-05-28 14:00:00,constructor_results_447
448,59,3,0.0,2006-05-28 14:00:00,constructor_results_448
449,60,4,15.0,2006-06-11 12:00:00,constructor_results_449
