constructorId,constructorRef,name,nationality,constructors_rownum
122,sutton,Sutton,American,constructors_121
123,fry,Fry,British,constructors_122
124,tec-mec,Tec-Mec,Italian,constructors_123
125,connaught,Connaught,British,constructors_124
126,alta,Alta,British,constructors_125
127,osca,OSCA,Italian,constructors_126
128,gordini,Gordini,French,constructors_127
129,stevens,Stevens,American,constructors_128
130,bugatti,Bugatti,French,constructors_129
131,mercedes,Mercedes,German,constructors_130
132,lancia,Lancia,Italian,constructors_131
133,hwm,HWM,British,constructors_132
134,schroeder,Schroeder,American,constructors_133
135,pawl,Pawl,American,constructors_134
136,pankratz,Pankratz,American,constructors_135
137,arzani-volpini,Arzani-Volpini,Italian,constructors_136
138,nichels,Nichels,American,constructors_137
139,bromme,Bromme,American,constructors_138
140,klenk,Klenk,German,constructors_139
141,simca,Simca,French,constructors_140
142,turner,Turner,American,constructors_141
143,del_roy,Del Roy,American,constructors_142
144,veritas,Veritas,German,constructors_143
145,bmw,BMW,German,constructors_144
146,emw,EMW,East German,constructors_145
147,afm,AFM,German,constructors_146
148,frazer_nash,Frazer Nash,British,constructors_147
149,sherman,Sherman,American,constructors_148
150,deidt,Deidt,American,constructors_149
151,era,ERA,British,constructors_150
152,butterworth,Aston Butterworth,British,constructors_151
153,cisitalia,Cisitalia,Italian,constructors_152
154,lago,Talbot-Lago,French,constructors_153
155,hall,Hall,American,constructors_154
156,marchese,Marchese,American,constructors_155
157,langley,Langley,American,constructors_156
158,rae,Rae,American,constructors_157
159,olson,Olson,American,constructors_158
160,wetteroth,Wetteroth,American,constructors_159
161,adams,Adams,American,constructors_160
162,snowberger,Snowberger,American,constructors_161
163,milano,Milano,Italian,constructors_162
164,hrt,HRT,Spanish,constructors_163
167,cooper-maserati,Cooper-Maserati,British,constructors_164
166,virgin,Virgin,British,constructors_165
168,cooper-osca,Cooper-OSCA,British,constructors_166
169,cooper-borgward,Cooper-Borgward,British,constructors_167
170,cooper-climax,Cooper-Climax,British,constructors_168
171,cooper-castellotti,Cooper-Castellotti,British,constructors_169
172,lotus-climax,Lotus-Climax,British,constructors_170
173,lotus-maserati,Lotus-Maserati,British,constructors_171
174,de_tomaso-osca,De Tomaso-Osca,Italian,constructors_172
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,constructors_173
176,lotus-brm,Lotus-BRM,British,constructors_174
177,lotus-borgward,Lotus-Borgward,British,constructors_175
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,constructors_176
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,constructors_177
180,lotus-ford,Lotus-Ford,British,constructors_178
181,brabham-brm,Brabham-BRM,British,constructors_179
182,brabham-ford,Brabham-Ford,British,constructors_180
183,brabham-climax,Brabham-Climax,British,constructors_181
184,lds-climax,LDS-Climax,South African,constructors_182
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,constructors_183
186,cooper-ford,Cooper-Ford,British,constructors_184
187,mclaren-ford,McLaren-Ford,British,constructors_185
188,mclaren-seren,McLaren-Serenissima,British,constructors_186
189,eagle-climax,Eagle-Climax,American,constructors_187
190,eagle-weslake,Eagle-Weslake,American,constructors_188
191,brabham-repco,Brabham-Repco,British,constructors_189
192,cooper-ferrari,Cooper-Ferrari,British,constructors_190
193,cooper-ats,Cooper-ATS,British,constructors_191
194,mclaren-brm,McLaren-BRM,British,constructors_192
195,cooper-brm,Cooper-BRM,British,constructors_193
196,matra-ford,Matra-Ford,French,constructors_194
197,brm-ford,BRM-Ford,British,constructors_195
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,constructors_196
199,march-alfa_romeo,March-Alfa Romeo,British,constructors_197
200,march-ford,March-Ford,British,constructors_198
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,constructors_199
202,shadow-ford,Shadow-Ford,British,constructors_200
203,shadow-matra,Shadow-Matra,British,constructors_201
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,constructors_202
205,lotus_racing,Lotus,Malaysian,constructors_203
206,marussia,Marussia,Russian,constructors_204
207,caterham,Caterham,Malaysian,constructors_205
208,lotus_f1,Lotus F1,British,constructors_206
209,manor,Manor Marussia,British,constructors_207
210,haas,Haas F1 Team,American,constructors_208
211,racing_point,Racing Point,British,constructors_209
213,alphatauri,AlphaTauri,Italian,constructors_210
214,alpine,Alpine F1 Team,French,constructors_211
