resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,milliseconds,fastestLap,rank,statusId,date,results_rownum
69,21,1,1,22.0,5,3.0,3,6.0,66,5903238.0,20.0,3.0,1,2008-04-27 12:00:00,results_69
70,21,9,2,4.0,4,4.0,4,5.0,66,5904745.0,20.0,4.0,1,2008-04-27 12:00:00,results_70
71,21,17,9,10.0,7,5.0,5,4.0,66,5934989.0,19.0,8.0,1,2008-04-27 12:00:00,results_71
72,21,18,11,16.0,13,6.0,6,3.0,66,5952061.0,66.0,5.0,1,2008-04-27 12:00:00,results_72
73,21,6,3,8.0,12,7.0,7,2.0,66,5957295.0,48.0,15.0,1,2008-04-27 12:00:00,results_73
74,21,15,7,11.0,8,8.0,8,1.0,66,5958486.0,45.0,10.0,1,2008-04-27 12:00:00,results_74
75,21,2,2,3.0,9,9.0,9,0.0,66,5962124.0,21.0,7.0,1,2008-04-27 12:00:00,results_75
76,21,21,10,21.0,19,10.0,10,0.0,65,,40.0,14.0,11,2008-04-27 12:00:00,results_76
77,21,10,7,12.0,14,11.0,11,0.0,65,,57.0,12.0,11,2008-04-27 12:00:00,results_77
78,21,14,9,9.0,17,12.0,12,0.0,65,,57.0,11.0,11,2008-04-27 12:00:00,results_78
79,21,11,8,18.0,22,13.0,13,0.0,65,,34.0,17.0,11,2008-04-27 12:00:00,results_79
80,21,3,3,7.0,15,,14,0.0,41,,20.0,13.0,5,2008-04-27 12:00:00,results_80
81,21,4,4,5.0,2,,15,0.0,34,,15.0,9.0,5,2008-04-27 12:00:00,results_81
82,21,22,11,17.0,11,,16,0.0,34,,21.0,16.0,4,2008-04-27 12:00:00,results_82
83,21,5,1,23.0,6,,17,0.0,21,,19.0,6.0,3,2008-04-27 12:00:00,results_83
84,21,19,8,19.0,21,,18,0.0,8,,6.0,20.0,21,2008-04-27 12:00:00,results_84
85,21,7,5,14.0,16,,19,0.0,7,,6.0,19.0,4,2008-04-27 12:00:00,results_85
86,21,12,4,6.0,10,,20,0.0,6,,6.0,18.0,4,2008-04-27 12:00:00,results_86
87,21,16,10,20.0,20,,21,0.0,0,,,,4,2008-04-27 12:00:00,results_87
88,21,20,5,15.0,18,,22,0.0,0,,,,4,2008-04-27 12:00:00,results_88
89,22,13,6,2.0,1,1.0,1,10.0,58,5209451.0,16.0,3.0,1,2008-05-11 12:00:00,results_89
90,22,1,1,22.0,3,2.0,2,8.0,58,5213230.0,31.0,2.0,1,2008-05-11 12:00:00,results_90
91,22,8,6,1.0,4,3.0,3,6.0,58,5213722.0,20.0,1.0,1,2008-05-11 12:00:00,results_91
92,22,9,2,4.0,5,4.0,4,5.0,58,5231396.0,17.0,4.0,1,2008-05-11 12:00:00,results_92
93,22,2,2,3.0,9,5.0,5,4.0,58,5248192.0,20.0,5.0,1,2008-05-11 12:00:00,results_93
94,22,4,4,5.0,7,6.0,6,3.0,58,5263175.0,57.0,6.0,1,2008-05-11 12:00:00,results_94
95,22,17,9,10.0,6,7.0,7,2.0,58,5273680.0,14.0,7.0,1,2008-05-11 12:00:00,results_95
96,22,3,3,7.0,11,8.0,8,1.0,58,5280857.0,55.0,9.0,1,2008-05-11 12:00:00,results_96
97,22,14,9,9.0,10,9.0,9,0.0,58,5284721.0,41.0,12.0,1,2008-05-11 12:00:00,results_97
98,22,15,7,11.0,8,10.0,10,0.0,58,5285795.0,52.0,11.0,1,2008-05-11 12:00:00,results_98
99,22,18,11,16.0,13,11.0,11,0.0,57,,57.0,13.0,11,2008-05-11 12:00:00,results_99
100,22,5,1,23.0,2,12.0,12,0.0,57,,55.0,8.0,11,2008-05-11 12:00:00,results_100
101,22,10,7,12.0,15,13.0,13,0.0,57,,28.0,16.0,11,2008-05-11 12:00:00,results_101
102,22,22,11,17.0,12,14.0,14,0.0,57,,56.0,14.0,11,2008-05-11 12:00:00,results_102
103,22,12,4,6.0,17,15.0,15,0.0,57,,40.0,10.0,11,2008-05-11 12:00:00,results_103
104,22,16,10,20.0,19,16.0,16,0.0,57,,35.0,18.0,11,2008-05-11 12:00:00,results_104
105,22,20,5,15.0,14,17.0,17,0.0,57,,38.0,15.0,11,2008-05-11 12:00:00,results_105
106,22,7,5,14.0,18,,18,0.0,24,,19.0,17.0,22,2008-05-11 12:00:00,results_106
107,22,6,3,8.0,16,,19,0.0,1,,,,4,2008-05-11 12:00:00,results_107
108,22,21,10,21.0,20,,20,0.0,0,,,,4,2008-05-11 12:00:00,results_108
109,23,1,1,22.0,3,1.0,1,10.0,76,7242742.0,71.0,6.0,1,2008-05-25 12:00:00,results_109
110,23,9,2,4.0,5,2.0,2,8.0,76,7245806.0,75.0,5.0,1,2008-05-25 12:00:00,results_110
111,23,13,6,2.0,1,3.0,3,6.0,76,7247553.0,76.0,4.0,1,2008-05-25 12:00:00,results_111
112,23,17,9,10.0,9,4.0,4,5.0,76,7262037.0,74.0,8.0,1,2008-05-25 12:00:00,results_112
113,23,20,5,15.0,19,5.0,5,4.0,76,7267399.0,74.0,7.0,1,2008-05-25 12:00:00,results_113
114,23,22,11,17.0,14,6.0,6,3.0,76,7271150.0,75.0,9.0,1,2008-05-25 12:00:00,results_114
115,23,6,3,8.0,13,7.0,7,2.0,76,7272922.0,75.0,13.0,1,2008-05-25 12:00:00,results_115
116,23,5,1,23.0,4,8.0,8,1.0,76,7275933.0,74.0,2.0,1,2008-05-25 12:00:00,results_116
117,23,8,6,1.0,2,9.0,9,0.0,76,7276534.0,74.0,1.0,1,2008-05-25 12:00:00,results_117
118,23,4,4,5.0,7,10.0,10,0.0,75,,73.0,3.0,11,2008-05-25 12:00:00,results_118
119,23,18,11,16.0,11,11.0,11,0.0,75,,74.0,10.0,11,2008-05-25 12:00:00,results_119
120,23,10,7,12.0,10,12.0,12,0.0,75,,75.0,11.0,11,2008-05-25 12:00:00,results_120
121,23,15,7,11.0,8,13.0,13,0.0,75,,75.0,12.0,11,2008-05-25 12:00:00,results_121
122,23,2,2,3.0,12,14.0,14,0.0,72,,72.0,14.0,14,2008-05-25 12:00:00,results_122
123,23,16,10,20.0,18,,15,0.0,67,,60.0,16.0,4,2008-05-25 12:00:00,results_123
124,23,3,3,7.0,6,,16,0.0,59,,58.0,15.0,3,2008-05-25 12:00:00,results_124
125,23,12,4,6.0,17,,17,0.0,47,,40.0,17.0,3,2008-05-25 12:00:00,results_125
126,23,21,10,21.0,20,,18,0.0,36,,33.0,18.0,6,2008-05-25 12:00:00,results_126
127,23,14,9,9.0,15,,19,0.0,7,,7.0,20.0,3,2008-05-25 12:00:00,results_127
128,23,7,5,14.0,16,,20,0.0,7,,7.0,19.0,4,2008-05-25 12:00:00,results_128
129,24,9,2,4.0,2,1.0,1,10.0,70,5784227.0,47.0,4.0,1,2008-06-08 17:00:00,results_129
130,24,2,2,3.0,8,2.0,2,8.0,70,5800722.0,25.0,2.0,1,2008-06-08 17:00:00,results_130
131,24,14,9,9.0,13,3.0,3,6.0,70,5807579.0,36.0,7.0,1,2008-06-08 17:00:00,results_131
132,24,10,7,12.0,11,4.0,4,5.0,70,5826854.0,31.0,17.0,1,2008-06-08 17:00:00,results_132
133,24,13,6,2.0,6,5.0,5,4.0,70,5828161.0,11.0,6.0,1,2008-06-08 17:00:00,results_133
134,24,15,7,11.0,14,6.0,6,3.0,70,5832002.0,38.0,15.0,1,2008-06-08 17:00:00,results_134
135,24,22,11,17.0,9,7.0,7,2.0,70,5837824.0,35.0,10.0,1,2008-06-08 17:00:00,results_135
136,24,20,5,15.0,19,8.0,8,1.0,70,5838347.0,33.0,12.0,1,2008-06-08 17:00:00,results_136
137,24,5,1,23.0,7,9.0,9,0.0,70,5838660.0,62.0,11.0,1,2008-06-08 17:00:00,results_137
138,24,3,3,7.0,5,10.0,10,0.0,70,5838976.0,14.0,5.0,1,2008-06-08 17:00:00,results_138
139,24,18,11,16.0,20,11.0,11,0.0,70,5851767.0,58.0,19.0,1,2008-06-08 17:00:00,results_139
140,24,17,9,10.0,10,12.0,12,0.0,70,5855526.0,51.0,8.0,1,2008-06-08 17:00:00,results_140
141,24,7,5,14.0,18,13.0,13,0.0,69,,34.0,13.0,11,2008-06-08 17:00:00,results_141
142,24,21,10,21.0,17,,14,0.0,51,,41.0,16.0,20,2008-06-08 17:00:00,results_142
143,24,6,3,8.0,12,,15,0.0,46,,30.0,14.0,3,2008-06-08 17:00:00,results_143
144,24,4,4,5.0,4,,16,0.0,44,,16.0,9.0,20,2008-06-08 17:00:00,results_144
145,24,12,4,6.0,15,,17,0.0,43,,16.0,18.0,23,2008-06-08 17:00:00,results_145
146,24,8,6,1.0,3,,18,0.0,19,,14.0,1.0,4,2008-06-08 17:00:00,results_146
147,24,1,1,22.0,1,,19,0.0,19,,4.0,3.0,4,2008-06-08 17:00:00,results_147
148,24,16,10,20.0,16,,20,0.0,13,,7.0,20.0,6,2008-06-08 17:00:00,results_148
149,25,13,6,2.0,2,1.0,1,10.0,70,5510245.0,20.0,2.0,1,2008-06-22 12:00:00,results_149
150,25,8,6,1.0,1,2.0,2,8.0,70,5528229.0,16.0,1.0,1,2008-06-22 12:00:00,results_150
151,25,15,7,11.0,4,3.0,3,6.0,70,5538495.0,12.0,7.0,1,2008-06-22 12:00:00,results_151
152,25,5,1,23.0,10,4.0,4,5.0,70,5539174.0,46.0,3.0,1,2008-06-22 12:00:00,results_152
153,25,9,2,4.0,5,5.0,5,4.0,70,5540757.0,16.0,4.0,1,2008-06-22 12:00:00,results_153
154,25,17,9,10.0,6,6.0,6,3.0,70,5550549.0,22.0,6.0,1,2008-06-22 12:00:00,results_154
155,25,12,4,6.0,9,7.0,7,2.0,70,5551278.0,24.0,10.0,1,2008-06-22 12:00:00,results_155
156,25,4,4,5.0,3,8.0,8,1.0,70,5553617.0,39.0,8.0,1,2008-06-22 12:00:00,results_156
157,25,14,9,9.0,7,9.0,9,0.0,70,5561266.0,23.0,12.0,1,2008-06-22 12:00:00,results_157
158,25,1,1,22.0,13,10.0,10,0.0,70,5564783.0,40.0,5.0,1,2008-06-22 12:00:00,results_158
159,25,10,7,12.0,8,11.0,11,0.0,70,5567945.0,45.0,13.0,1,2008-06-22 12:00:00,results_159
160,25,20,5,15.0,12,12.0,12,0.0,70,5568310.0,36.0,11.0,1,2008-06-22 12:00:00,results_160
161,25,2,2,3.0,11,13.0,13,0.0,70,5572324.0,46.0,9.0,1,2008-06-22 12:00:00,results_161
162,25,22,11,17.0,20,14.0,14,0.0,69,,54.0,14.0,11,2008-06-22 12:00:00,results_162
163,25,6,3,8.0,15,15.0,15,0.0,69,,60.0,15.0,11,2008-06-22 12:00:00,results_163
164,25,3,3,7.0,19,16.0,16,0.0,69,,38.0,17.0,11,2008-06-22 12:00:00,results_164
165,25,7,5,14.0,14,17.0,17,0.0,69,,28.0,16.0,11,2008-06-22 12:00:00,results_165
166,25,21,10,21.0,17,18.0,18,0.0,69,,53.0,19.0,11,2008-06-22 12:00:00,results_166
167,25,16,10,20.0,18,19.0,19,0.0,69,,41.0,18.0,11,2008-06-22 12:00:00,results_167
168,25,18,11,16.0,16,,20,0.0,16,,15.0,20.0,4,2008-06-22 12:00:00,results_168
169,26,1,1,22.0,4,1.0,1,10.0,60,5949440.0,16.0,3.0,1,2008-07-06 12:00:00,results_169
170,26,2,2,3.0,5,2.0,2,8.0,60,6018017.0,21.0,2.0,1,2008-07-06 12:00:00,results_170
171,26,22,11,17.0,16,3.0,3,6.0,60,6031713.0,21.0,11.0,1,2008-07-06 12:00:00,results_171
172,26,8,6,1.0,3,4.0,4,5.0,59,,18.0,1.0,11,2008-07-06 12:00:00,results_172
173,26,5,1,23.0,1,5.0,5,4.0,59,,17.0,5.0,11,2008-07-06 12:00:00,results_173
174,26,4,4,5.0,6,6.0,6,3.0,59,,17.0,6.0,11,2008-07-06 12:00:00,results_174
175,26,15,7,11.0,14,7.0,7,2.0,59,,22.0,13.0,11,2008-07-06 12:00:00,results_175
176,26,6,3,8.0,15,8.0,8,1.0,59,,21.0,14.0,11,2008-07-06 12:00:00,results_176
177,26,3,3,7.0,20,9.0,9,0.0,59,,21.0,16.0,11,2008-07-06 12:00:00,results_177
178,26,17,9,10.0,2,10.0,10,0.0,59,,17.0,4.0,11,2008-07-06 12:00:00,results_178
179,26,7,5,14.0,13,11.0,11,0.0,59,,21.0,9.0,11,2008-07-06 12:00:00,results_179
180,26,10,7,12.0,12,12.0,12,0.0,59,,19.0,15.0,11,2008-07-06 12:00:00,results_180
181,26,13,6,2.0,9,13.0,13,0.0,58,,19.0,8.0,12,2008-07-06 12:00:00,results_181
182,26,9,2,4.0,10,,14,0.0,39,,22.0,12.0,20,2008-07-06 12:00:00,results_182
183,26,18,11,16.0,17,,15,0.0,38,,21.0,10.0,20,2008-07-06 12:00:00,results_183
184,26,12,4,6.0,7,,16,0.0,35,,21.0,7.0,20,2008-07-06 12:00:00,results_184
185,26,21,10,21.0,19,,17,0.0,16,,21.0,17.0,20,2008-07-06 12:00:00,results_185
186,26,16,10,20.0,18,,18,0.0,10,,5.0,18.0,20,2008-07-06 12:00:00,results_186
187,26,20,5,15.0,8,,19,0.0,0,,,,4,2008-07-06 12:00:00,results_187
188,26,14,9,9.0,11,,20,0.0,0,,,,4,2008-07-06 12:00:00,results_188
189,27,1,1,22.0,1,1.0,1,10.0,67,5480874.0,17.0,2.0,1,2008-07-20 12:00:00,results_189
190,27,12,4,6.0,17,2.0,2,8.0,67,5486460.0,66.0,9.0,1,2008-07-20 12:00:00,results_190
191,27,13,6,2.0,2,3.0,3,6.0,67,5490213.0,19.0,5.0,1,2008-07-20 12:00:00,results_191
192,27,2,2,3.0,12,4.0,4,5.0,67,5490699.0,52.0,1.0,1,2008-07-20 12:00:00,results_192
193,27,5,1,23.0,3,5.0,5,4.0,67,5493285.0,63.0,4.0,1,2008-07-20 12:00:00,results_193
194,27,8,6,1.0,6,6.0,6,3.0,67,5495277.0,66.0,3.0,1,2008-07-20 12:00:00,results_194
195,27,9,2,4.0,7,7.0,7,2.0,67,5503556.0,17.0,6.0,1,2008-07-20 12:00:00,results_195
196,27,20,5,15.0,9,8.0,8,1.0,67,5514173.0,20.0,8.0,1,2008-07-20 12:00:00,results_196
197,27,15,7,11.0,4,9.0,9,0.0,67,5518032.0,17.0,12.0,1,2008-07-20 12:00:00,results_197
198,27,3,3,7.0,13,10.0,10,0.0,67,5518499.0,34.0,15.0,1,2008-07-20 12:00:00,results_198
199,27,4,4,5.0,5,11.0,11,0.0,67,5519474.0,17.0,13.0,1,2008-07-20 12:00:00,results_199
200,27,7,5,14.0,15,12.0,12,0.0,67,5519985.0,63.0,10.0,1,2008-07-20 12:00:00,results_200
201,27,14,9,9.0,10,13.0,13,0.0,67,5535845.0,18.0,11.0,1,2008-07-20 12:00:00,results_201
202,27,6,3,8.0,16,14.0,14,0.0,67,5540877.0,23.0,17.0,1,2008-07-20 12:00:00,results_202
203,27,16,10,20.0,19,15.0,15,0.0,67,5550362.0,66.0,18.0,1,2008-07-20 12:00:00,results_203
204,27,21,10,21.0,20,16.0,16,0.0,67,5564967.0,67.0,20.0,1,2008-07-20 12:00:00,results_204
205,27,18,11,16.0,14,17.0,17,0.0,66,,56.0,16.0,11,2008-07-20 12:00:00,results_205
206,27,22,11,17.0,18,,18,0.0,50,,30.0,19.0,4,2008-07-20 12:00:00,results_206
207,27,17,9,10.0,8,,19,0.0,40,,20.0,14.0,5,2008-07-20 12:00:00,results_207
208,27,10,7,12.0,11,,20,0.0,35,,24.0,7.0,22,2008-07-20 12:00:00,results_208
209,28,5,1,23.0,2,1.0,1,10.0,70,5847067.0,19.0,7.0,1,2008-08-03 12:00:00,results_209
210,28,10,7,12.0,5,2.0,2,8.0,70,5858128.0,42.0,6.0,1,2008-08-03 12:00:00,results_210
211,28,8,6,1.0,6,3.0,3,6.0,70,5863923.0,61.0,1.0,1,2008-08-03 12:00:00,results_211
212,28,4,4,5.0,7,4.0,4,5.0,70,5868681.0,47.0,8.0,1,2008-08-03 12:00:00,results_212
213,28,1,1,22.0,1,5.0,5,4.0,70,5870115.0,15.0,3.0,1,2008-08-03 12:00:00,results_213
214,28,12,4,6.0,10,6.0,6,3.0,70,5879365.0,64.0,4.0,1,2008-08-03 12:00:00,results_214
215,28,15,7,11.0,9,7.0,7,2.0,70,5883516.0,65.0,5.0,1,2008-08-03 12:00:00,results_215
216,28,9,2,4.0,4,8.0,8,1.0,70,5895388.0,70.0,9.0,1,2008-08-03 12:00:00,results_216
217,28,17,9,10.0,8,9.0,9,0.0,70,5905901.0,67.0,10.0,1,2008-08-03 12:00:00,results_217
218,28,2,2,3.0,15,10.0,10,0.0,70,5914776.0,67.0,11.0,1,2008-08-03 12:00:00,results_218
219,28,14,9,9.0,13,11.0,11,0.0,70,5917474.0,67.0,16.0,1,2008-08-03 12:00:00,results_219
220,28,18,11,16.0,12,12.0,12,0.0,69,,63.0,13.0,11,2008-08-03 12:00:00,results_220
221,28,6,3,8.0,16,13.0,13,0.0,69,,67.0,18.0,11,2008-08-03 12:00:00,results_221
222,28,3,3,7.0,14,14.0,14,0.0,69,,57.0,12.0,11,2008-08-03 12:00:00,results_222
223,28,21,10,21.0,18,15.0,15,0.0,69,,68.0,15.0,11,2008-08-03 12:00:00,results_223
224,28,22,11,17.0,17,16.0,16,0.0,68,,65.0,14.0,12,2008-08-03 12:00:00,results_224
225,28,13,6,2.0,3,17.0,17,0.0,67,,16.0,2.0,5,2008-08-03 12:00:00,results_225
226,28,7,5,14.0,19,18.0,18,0.0,67,,29.0,17.0,13,2008-08-03 12:00:00,results_226
227,28,16,10,20.0,20,,19,0.0,62,,29.0,19.0,23,2008-08-03 12:00:00,results_227
228,28,20,5,15.0,11,,20,0.0,22,,17.0,20.0,25,2008-08-03 12:00:00,results_228
229,29,13,6,2.0,1,1.0,1,10.0,57,5732339.0,36.0,1.0,1,2008-08-24 12:00:00,results_229
230,29,1,1,22.0,2,2.0,2,8.0,57,5737950.0,16.0,2.0,1,2008-08-24 12:00:00,results_230
231,29,9,2,4.0,3,3.0,3,6.0,57,5769692.0,38.0,4.0,1,2008-08-24 12:00:00,results_231
232,29,5,1,23.0,5,4.0,4,5.0,57,5772042.0,19.0,3.0,1,2008-08-24 12:00:00,results_232
233,29,15,7,11.0,7,5.0,5,4.0,57,5783023.0,37.0,12.0,1,2008-08-24 12:00:00,results_233
234,29,20,5,15.0,6,6.0,6,3.0,57,5784964.0,36.0,6.0,1,2008-08-24 12:00:00,results_234
235,29,10,7,12.0,13,7.0,7,2.0,57,5800329.0,54.0,8.0,1,2008-08-24 12:00:00,results_235
236,29,3,3,7.0,9,8.0,8,1.0,57,5803796.0,35.0,10.0,1,2008-08-24 12:00:00,results_236
237,29,2,2,3.0,8,9.0,9,0.0,57,5814516.0,57.0,7.0,1,2008-08-24 12:00:00,results_237
238,29,7,5,14.0,10,10.0,10,0.0,57,5822133.0,35.0,11.0,1,2008-08-24 12:00:00,results_238
239,29,12,4,6.0,15,11.0,11,0.0,57,5825056.0,29.0,9.0,1,2008-08-24 12:00:00,results_239
240,29,17,9,10.0,14,12.0,12,0.0,56,,27.0,14.0,11,2008-08-24 12:00:00,results_240
241,29,18,11,16.0,16,13.0,13,0.0,56,,21.0,18.0,11,2008-08-24 12:00:00,results_241
242,29,21,10,21.0,18,14.0,14,0.0,56,,54.0,15.0,11,2008-08-24 12:00:00,results_242
243,29,6,3,8.0,11,15.0,15,0.0,56,,56.0,13.0,11,2008-08-24 12:00:00,results_243
244,29,22,11,17.0,19,16.0,16,0.0,56,,56.0,16.0,11,2008-08-24 12:00:00,results_244
245,29,14,9,9.0,17,17.0,17,0.0,56,,13.0,19.0,11,2008-08-24 12:00:00,results_245
246,29,8,6,1.0,4,,18,0.0,45,,34.0,5.0,5,2008-08-24 12:00:00,results_246
247,29,16,10,20.0,20,,19,0.0,41,,28.0,17.0,3,2008-08-24 12:00:00,results_247
248,29,4,4,5.0,12,,20,0.0,0,,,,4,2008-08-24 12:00:00,results_248
249,30,13,6,2.0,2,1.0,1,10.0,44,4979394.0,26.0,3.0,1,2008-09-07 12:00:00,results_249
250,30,2,2,3.0,5,2.0,2,8.0,44,4988777.0,36.0,7.0,1,2008-09-07 12:00:00,results_250
