raceId,year,round,circuitId,name,date,time,races_rownum
25,2008,8,8,French Grand Prix,2008-06-22 12:00:00,12:00:00,races_25
26,2008,9,9,British Grand Prix,2008-07-06 12:00:00,12:00:00,races_26
27,2008,10,10,German Grand Prix,2008-07-20 12:00:00,12:00:00,races_27
28,2008,11,11,Hungarian Grand Prix,2008-08-03 12:00:00,12:00:00,races_28
29,2008,12,12,European Grand Prix,2008-08-24 12:00:00,12:00:00,races_29
30,2008,13,13,Belgian Grand Prix,2008-09-07 12:00:00,12:00:00,races_30
31,2008,14,14,Italian Grand Prix,2008-09-14 12:00:00,12:00:00,races_31
32,2008,15,15,Singapore Grand Prix,2008-09-28 12:00:00,12:00:00,races_32
33,2008,16,16,Japanese Grand Prix,2008-10-12 04:30:00,04:30:00,races_33
34,2008,17,17,Chinese Grand Prix,2008-10-19 07:00:00,07:00:00,races_34
35,2008,18,18,Brazilian Grand Prix,2008-11-02 17:00:00,17:00:00,races_35
36,2007,1,1,Australian Grand Prix,2007-03-18 03:00:00,03:00:00,races_36
37,2007,2,2,Malaysian Grand Prix,2007-04-08 07:00:00,07:00:00,races_37
38,2007,3,3,Bahrain Grand Prix,2007-04-15 11:30:00,11:30:00,races_38
39,2007,4,4,Spanish Grand Prix,2007-05-13 12:00:00,12:00:00,races_39
40,2007,5,6,Monaco Grand Prix,2007-05-27 12:00:00,12:00:00,races_40
41,2007,6,7,Canadian Grand Prix,2007-06-10 17:00:00,17:00:00,races_41
42,2007,7,19,United States Grand Prix,2007-06-17 17:00:00,17:00:00,races_42
43,2007,8,8,French Grand Prix,2007-07-01 12:00:00,12:00:00,races_43
44,2007,9,9,British Grand Prix,2007-07-08 12:00:00,12:00:00,races_44
45,2007,10,20,European Grand Prix,2007-07-22 12:00:00,12:00:00,races_45
46,2007,11,11,Hungarian Grand Prix,2007-08-05 12:00:00,12:00:00,races_46
47,2007,12,5,Turkish Grand Prix,2007-08-26 12:00:00,12:00:00,races_47
48,2007,13,14,Italian Grand Prix,2007-09-09 12:00:00,12:00:00,races_48
49,2007,14,13,Belgian Grand Prix,2007-09-16 12:00:00,12:00:00,races_49
50,2007,15,16,Japanese Grand Prix,2007-09-30 04:30:00,04:30:00,races_50
51,2007,16,17,Chinese Grand Prix,2007-10-07 06:00:00,06:00:00,races_51
52,2007,17,18,Brazilian Grand Prix,2007-10-21 16:00:00,16:00:00,races_52
53,2006,1,3,Bahrain Grand Prix,2006-03-12 14:30:00,14:30:00,races_53
54,2006,2,2,Malaysian Grand Prix,2006-03-19 15:00:00,15:00:00,races_54
55,2006,3,1,Australian Grand Prix,2006-04-02 14:00:00,14:00:00,races_55
56,2006,4,21,San Marino Grand Prix,2006-04-23 14:00:00,14:00:00,races_56
57,2006,5,20,European Grand Prix,2006-05-07 14:00:00,14:00:00,races_57
58,2006,6,4,Spanish Grand Prix,2006-05-14 14:00:00,14:00:00,races_58
59,2006,7,6,Monaco Grand Prix,2006-05-28 14:00:00,14:00:00,races_59
60,2006,8,9,British Grand Prix,2006-06-11 12:00:00,12:00:00,races_60
61,2006,9,7,Canadian Grand Prix,2006-06-25 13:00:00,13:00:00,races_61
62,2006,10,19,United States Grand Prix,2006-07-02 14:00:00,14:00:00,races_62
63,2006,11,8,French Grand Prix,2006-07-16 14:00:00,14:00:00,races_63
64,2006,12,10,German Grand Prix,2006-07-30 14:00:00,14:00:00,races_64
65,2006,13,11,Hungarian Grand Prix,2006-08-06 14:00:00,14:00:00,races_65
66,2006,14,5,Turkish Grand Prix,2006-08-27 15:00:00,15:00:00,races_66
67,2006,15,14,Italian Grand Prix,2006-09-10 14:00:00,14:00:00,races_67
68,2006,16,17,Chinese Grand Prix,2006-10-01 14:00:00,14:00:00,races_68
69,2006,17,22,Japanese Grand Prix,2006-10-08 14:00:00,14:00:00,races_69
70,2006,18,18,Brazilian Grand Prix,2006-10-22 14:00:00,14:00:00,races_70
71,2005,1,1,Australian Grand Prix,2005-03-06 14:00:00,14:00:00,races_71
72,2005,2,2,Malaysian Grand Prix,2005-03-20 15:00:00,15:00:00,races_72
73,2005,3,3,Bahrain Grand Prix,2005-04-03 14:30:00,14:30:00,races_73
74,2005,4,21,San Marino Grand Prix,2005-04-24 14:00:00,14:00:00,races_74
75,2005,5,4,Spanish Grand Prix,2005-05-08 14:00:00,14:00:00,races_75
76,2005,6,6,Monaco Grand Prix,2005-05-22 14:00:00,14:00:00,races_76
77,2005,7,20,European Grand Prix,2005-05-29 14:00:00,14:00:00,races_77
78,2005,8,7,Canadian Grand Prix,2005-06-12 13:00:00,13:00:00,races_78
79,2005,9,19,United States Grand Prix,2005-06-19 14:00:00,14:00:00,races_79
80,2005,10,8,French Grand Prix,2005-07-03 14:00:00,14:00:00,races_80
81,2005,11,9,British Grand Prix,2005-07-10 14:00:00,14:00:00,races_81
82,2005,12,10,German Grand Prix,2005-07-24 14:00:00,14:00:00,races_82
83,2005,13,11,Hungarian Grand Prix,2005-07-31 14:00:00,14:00:00,races_83
84,2005,14,5,Turkish Grand Prix,2005-08-21 15:00:00,15:00:00,races_84
85,2005,15,14,Italian Grand Prix,2005-09-04 14:00:00,14:00:00,races_85
86,2005,16,13,Belgian Grand Prix,2005-09-11 14:00:00,14:00:00,races_86
87,2005,17,18,Brazilian Grand Prix,2005-09-25 14:00:00,14:00:00,races_87
88,2005,18,22,Japanese Grand Prix,2005-10-09 14:00:00,14:00:00,races_88
89,2005,19,17,Chinese Grand Prix,2005-10-16 14:00:00,14:00:00,races_89
90,2004,1,1,Australian Grand Prix,2004-03-07 00:00:00,00:00:00,races_90
91,2004,2,2,Malaysian Grand Prix,2004-03-21 00:00:00,00:00:00,races_91
92,2004,3,3,Bahrain Grand Prix,2004-04-04 00:00:00,00:00:00,races_92
93,2004,4,21,San Marino Grand Prix,2004-04-25 00:00:00,00:00:00,races_93
94,2004,5,4,Spanish Grand Prix,2004-05-09 00:00:00,00:00:00,races_94
95,2004,6,6,Monaco Grand Prix,2004-05-23 00:00:00,00:00:00,races_95
96,2004,7,20,European Grand Prix,2004-05-30 00:00:00,00:00:00,races_96
97,2004,8,7,Canadian Grand Prix,2004-06-13 00:00:00,00:00:00,races_97
98,2004,9,19,United States Grand Prix,2004-06-20 00:00:00,00:00:00,races_98
99,2004,10,8,French Grand Prix,2004-07-04 00:00:00,00:00:00,races_99
100,2004,11,9,British Grand Prix,2004-07-11 00:00:00,00:00:00,races_100
101,2004,12,10,German Grand Prix,2004-07-25 00:00:00,00:00:00,races_101
102,2004,13,11,Hungarian Grand Prix,2004-08-15 00:00:00,00:00:00,races_102
103,2004,14,13,Belgian Grand Prix,2004-08-29 00:00:00,00:00:00,races_103
104,2004,15,14,Italian Grand Prix,2004-09-12 00:00:00,00:00:00,races_104
105,2004,16,17,Chinese Grand Prix,2004-09-26 00:00:00,00:00:00,races_105
106,2004,17,22,Japanese Grand Prix,2004-10-10 00:00:00,00:00:00,races_106
107,2004,18,18,Brazilian Grand Prix,2004-10-24 00:00:00,00:00:00,races_107
108,2003,1,1,Australian Grand Prix,2003-03-09 00:00:00,00:00:00,races_108
109,2003,2,2,Malaysian Grand Prix,2003-03-23 00:00:00,00:00:00,races_109
110,2003,3,18,Brazilian Grand Prix,2003-04-06 00:00:00,00:00:00,races_110
111,2003,4,21,San Marino Grand Prix,2003-04-20 00:00:00,00:00:00,races_111
112,2003,5,4,Spanish Grand Prix,2003-05-04 00:00:00,00:00:00,races_112
113,2003,6,70,Austrian Grand Prix,2003-05-18 00:00:00,00:00:00,races_113
114,2003,7,6,Monaco Grand Prix,2003-06-01 00:00:00,00:00:00,races_114
115,2003,8,7,Canadian Grand Prix,2003-06-15 00:00:00,00:00:00,races_115
116,2003,9,20,European Grand Prix,2003-06-29 00:00:00,00:00:00,races_116
117,2003,10,8,French Grand Prix,2003-07-06 00:00:00,00:00:00,races_117
118,2003,11,9,British Grand Prix,2003-07-20 00:00:00,00:00:00,races_118
119,2003,12,10,German Grand Prix,2003-08-03 00:00:00,00:00:00,races_119
120,2003,13,11,Hungarian Grand Prix,2003-08-24 00:00:00,00:00:00,races_120
121,2003,14,14,Italian Grand Prix,2003-09-14 00:00:00,00:00:00,races_121
122,2003,15,19,United States Grand Prix,2003-09-28 00:00:00,00:00:00,races_122
123,2003,16,22,Japanese Grand Prix,2003-10-12 00:00:00,00:00:00,races_123
124,2002,1,1,Australian Grand Prix,2002-03-03 00:00:00,00:00:00,races_124
125,2002,2,2,Malaysian Grand Prix,2002-03-17 00:00:00,00:00:00,races_125
126,2002,3,18,Brazilian Grand Prix,2002-03-31 00:00:00,00:00:00,races_126
127,2002,4,21,San Marino Grand Prix,2002-04-14 00:00:00,00:00:00,races_127
128,2002,5,4,Spanish Grand Prix,2002-04-28 00:00:00,00:00:00,races_128
129,2002,6,70,Austrian Grand Prix,2002-05-12 00:00:00,00:00:00,races_129
130,2002,7,6,Monaco Grand Prix,2002-05-26 00:00:00,00:00:00,races_130
131,2002,8,7,Canadian Grand Prix,2002-06-09 00:00:00,00:00:00,races_131
132,2002,9,20,European Grand Prix,2002-06-23 00:00:00,00:00:00,races_132
133,2002,10,9,British Grand Prix,2002-07-07 00:00:00,00:00:00,races_133
134,2002,11,8,French Grand Prix,2002-07-21 00:00:00,00:00:00,races_134
135,2002,12,10,German Grand Prix,2002-07-28 00:00:00,00:00:00,races_135
136,2002,13,11,Hungarian Grand Prix,2002-08-18 00:00:00,00:00:00,races_136
137,2002,14,13,Belgian Grand Prix,2002-09-01 00:00:00,00:00:00,races_137
138,2002,15,14,Italian Grand Prix,2002-09-15 00:00:00,00:00:00,races_138
139,2002,16,19,United States Grand Prix,2002-09-29 00:00:00,00:00:00,races_139
140,2002,17,22,Japanese Grand Prix,2002-10-13 00:00:00,00:00:00,races_140
141,2001,1,1,Australian Grand Prix,2001-03-04 00:00:00,00:00:00,races_141
142,2001,2,2,Malaysian Grand Prix,2001-03-18 00:00:00,00:00:00,races_142
143,2001,3,18,Brazilian Grand Prix,2001-04-01 00:00:00,00:00:00,races_143
144,2001,4,21,San Marino Grand Prix,2001-04-15 00:00:00,00:00:00,races_144
145,2001,5,4,Spanish Grand Prix,2001-04-29 00:00:00,00:00:00,races_145
146,2001,6,70,Austrian Grand Prix,2001-05-13 00:00:00,00:00:00,races_146
147,2001,7,6,Monaco Grand Prix,2001-05-27 00:00:00,00:00:00,races_147
148,2001,8,7,Canadian Grand Prix,2001-06-10 00:00:00,00:00:00,races_148
149,2001,9,20,European Grand Prix,2001-06-24 00:00:00,00:00:00,races_149
150,2001,10,8,French Grand Prix,2001-07-01 00:00:00,00:00:00,races_150
151,2001,11,9,British Grand Prix,2001-07-15 00:00:00,00:00:00,races_151
152,2001,12,10,German Grand Prix,2001-07-29 00:00:00,00:00:00,races_152
153,2001,13,11,Hungarian Grand Prix,2001-08-19 00:00:00,00:00:00,races_153
154,2001,14,13,Belgian Grand Prix,2001-09-02 00:00:00,00:00:00,races_154
155,2001,15,14,Italian Grand Prix,2001-09-16 00:00:00,00:00:00,races_155
156,2001,16,19,United States Grand Prix,2001-09-30 00:00:00,00:00:00,races_156
157,2001,17,22,Japanese Grand Prix,2001-10-14 00:00:00,00:00:00,races_157
158,2000,1,1,Australian Grand Prix,2000-03-12 00:00:00,00:00:00,races_158
159,2000,2,18,Brazilian Grand Prix,2000-03-26 00:00:00,00:00:00,races_159
160,2000,3,21,San Marino Grand Prix,2000-04-09 00:00:00,00:00:00,races_160
161,2000,4,9,British Grand Prix,2000-04-23 00:00:00,00:00:00,races_161
162,2000,5,4,Spanish Grand Prix,2000-05-07 00:00:00,00:00:00,races_162
163,2000,6,20,European Grand Prix,2000-05-21 00:00:00,00:00:00,races_163
164,2000,7,6,Monaco Grand Prix,2000-06-04 00:00:00,00:00:00,races_164
165,2000,8,7,Canadian Grand Prix,2000-06-18 00:00:00,00:00:00,races_165
166,2000,9,8,French Grand Prix,2000-07-02 00:00:00,00:00:00,races_166
167,2000,10,70,Austrian Grand Prix,2000-07-16 00:00:00,00:00:00,races_167
168,2000,11,10,German Grand Prix,2000-07-30 00:00:00,00:00:00,races_168
169,2000,12,11,Hungarian Grand Prix,2000-08-13 00:00:00,00:00:00,races_169
170,2000,13,13,Belgian Grand Prix,2000-08-27 00:00:00,00:00:00,races_170
171,2000,14,14,Italian Grand Prix,2000-09-10 00:00:00,00:00:00,races_171
172,2000,15,19,United States Grand Prix,2000-09-24 00:00:00,00:00:00,races_172
173,2000,16,22,Japanese Grand Prix,2000-10-08 00:00:00,00:00:00,races_173
174,2000,17,2,Malaysian Grand Prix,2000-10-22 00:00:00,00:00:00,races_174
175,1999,1,1,Australian Grand Prix,1999-03-07 00:00:00,00:00:00,races_175
176,1999,2,18,Brazilian Grand Prix,1999-04-11 00:00:00,00:00:00,races_176
177,1999,3,21,San Marino Grand Prix,1999-05-02 00:00:00,00:00:00,races_177
178,1999,4,6,Monaco Grand Prix,1999-05-16 00:00:00,00:00:00,races_178
179,1999,5,4,Spanish Grand Prix,1999-05-30 00:00:00,00:00:00,races_179
180,1999,6,7,Canadian Grand Prix,1999-06-13 00:00:00,00:00:00,races_180
181,1999,7,8,French Grand Prix,1999-06-27 00:00:00,00:00:00,races_181
182,1999,8,9,British Grand Prix,1999-07-11 00:00:00,00:00:00,races_182
183,1999,9,70,Austrian Grand Prix,1999-07-25 00:00:00,00:00:00,races_183
184,1999,10,10,German Grand Prix,1999-08-01 00:00:00,00:00:00,races_184
185,1999,11,11,Hungarian Grand Prix,1999-08-15 00:00:00,00:00:00,races_185
186,1999,12,13,Belgian Grand Prix,1999-08-29 00:00:00,00:00:00,races_186
187,1999,13,14,Italian Grand Prix,1999-09-12 00:00:00,00:00:00,races_187
188,1999,14,20,European Grand Prix,1999-09-26 00:00:00,00:00:00,races_188
189,1999,15,2,Malaysian Grand Prix,1999-10-17 00:00:00,00:00:00,races_189
190,1999,16,22,Japanese Grand Prix,1999-10-31 00:00:00,00:00:00,races_190
191,1998,1,1,Australian Grand Prix,1998-03-08 00:00:00,00:00:00,races_191
192,1998,2,18,Brazilian Grand Prix,1998-03-29 00:00:00,00:00:00,races_192
193,1998,3,25,Argentine Grand Prix,1998-04-12 00:00:00,00:00:00,races_193
194,1998,4,21,San Marino Grand Prix,1998-04-26 00:00:00,00:00:00,races_194
195,1998,5,4,Spanish Grand Prix,1998-05-10 00:00:00,00:00:00,races_195
196,1998,6,6,Monaco Grand Prix,1998-05-24 00:00:00,00:00:00,races_196
197,1998,7,7,Canadian Grand Prix,1998-06-07 00:00:00,00:00:00,races_197
198,1998,8,8,French Grand Prix,1998-06-28 00:00:00,00:00:00,races_198
199,1998,9,9,British Grand Prix,1998-07-12 00:00:00,00:00:00,races_199
200,1998,10,70,Austrian Grand Prix,1998-07-26 00:00:00,00:00:00,races_200
201,1998,11,10,German Grand Prix,1998-08-02 00:00:00,00:00:00,races_201
202,1998,12,11,Hungarian Grand Prix,1998-08-16 00:00:00,00:00:00,races_202
203,1998,13,13,Belgian Grand Prix,1998-08-30 00:00:00,00:00:00,races_203
204,1998,14,14,Italian Grand Prix,1998-09-13 00:00:00,00:00:00,races_204
205,1998,15,20,Luxembourg Grand Prix,1998-09-27 00:00:00,00:00:00,races_205
206,1998,16,22,Japanese Grand Prix,1998-11-01 00:00:00,00:00:00,races_206
207,1997,1,1,Australian Grand Prix,1997-03-09 00:00:00,00:00:00,races_207
208,1997,2,18,Brazilian Grand Prix,1997-03-30 00:00:00,00:00:00,races_208
209,1997,3,25,Argentine Grand Prix,1997-04-13 00:00:00,00:00:00,races_209
210,1997,4,21,San Marino Grand Prix,1997-04-27 00:00:00,00:00:00,races_210
211,1997,5,6,Monaco Grand Prix,1997-05-11 00:00:00,00:00:00,races_211
212,1997,6,4,Spanish Grand Prix,1997-05-25 00:00:00,00:00:00,races_212
213,1997,7,7,Canadian Grand Prix,1997-06-15 00:00:00,00:00:00,races_213
214,1997,8,8,French Grand Prix,1997-06-29 00:00:00,00:00:00,races_214
215,1997,9,9,British Grand Prix,1997-07-13 00:00:00,00:00:00,races_215
216,1997,10,10,German Grand Prix,1997-07-27 00:00:00,00:00:00,races_216
217,1997,11,11,Hungarian Grand Prix,1997-08-10 00:00:00,00:00:00,races_217
218,1997,12,13,Belgian Grand Prix,1997-08-24 00:00:00,00:00:00,races_218
219,1997,13,14,Italian Grand Prix,1997-09-07 00:00:00,00:00:00,races_219
220,1997,14,70,Austrian Grand Prix,1997-09-21 00:00:00,00:00:00,races_220
221,1997,15,20,Luxembourg Grand Prix,1997-09-28 00:00:00,00:00:00,races_221
222,1997,16,22,Japanese Grand Prix,1997-10-12 00:00:00,00:00:00,races_222
223,1997,17,26,European Grand Prix,1997-10-26 00:00:00,00:00:00,races_223
224,1996,1,1,Australian Grand Prix,1996-03-10 00:00:00,00:00:00,races_224
225,1996,2,18,Brazilian Grand Prix,1996-03-31 00:00:00,00:00:00,races_225
226,1996,3,25,Argentine Grand Prix,1996-04-07 00:00:00,00:00:00,races_226
227,1996,4,20,European Grand Prix,1996-04-28 00:00:00,00:00:00,races_227
228,1996,5,21,San Marino Grand Prix,1996-05-05 00:00:00,00:00:00,races_228
229,1996,6,6,Monaco Grand Prix,1996-05-19 00:00:00,00:00:00,races_229
230,1996,7,4,Spanish Grand Prix,1996-06-02 00:00:00,00:00:00,races_230
231,1996,8,7,Canadian Grand Prix,1996-06-16 00:00:00,00:00:00,races_231
232,1996,9,8,French Grand Prix,1996-06-30 00:00:00,00:00:00,races_232
233,1996,10,9,British Grand Prix,1996-07-14 00:00:00,00:00:00,races_233
234,1996,11,10,German Grand Prix,1996-07-28 00:00:00,00:00:00,races_234
235,1996,12,11,Hungarian Grand Prix,1996-08-11 00:00:00,00:00:00,races_235
236,1996,13,13,Belgian Grand Prix,1996-08-25 00:00:00,00:00:00,races_236
237,1996,14,14,Italian Grand Prix,1996-09-08 00:00:00,00:00:00,races_237
238,1996,15,27,Portuguese Grand Prix,1996-09-22 00:00:00,00:00:00,races_238
239,1996,16,22,Japanese Grand Prix,1996-10-13 00:00:00,00:00:00,races_239
240,1995,1,18,Brazilian Grand Prix,1995-03-26 00:00:00,00:00:00,races_240
241,1995,2,25,Argentine Grand Prix,1995-04-09 00:00:00,00:00:00,races_241
242,1995,3,21,San Marino Grand Prix,1995-04-30 00:00:00,00:00:00,races_242
243,1995,4,4,Spanish Grand Prix,1995-05-14 00:00:00,00:00:00,races_243
244,1995,5,6,Monaco Grand Prix,1995-05-28 00:00:00,00:00:00,races_244
245,1995,6,7,Canadian Grand Prix,1995-06-11 00:00:00,00:00:00,races_245
246,1995,7,8,French Grand Prix,1995-07-02 00:00:00,00:00:00,races_246
247,1995,8,9,British Grand Prix,1995-07-16 00:00:00,00:00:00,races_247
248,1995,9,10,German Grand Prix,1995-07-30 00:00:00,00:00:00,races_248
249,1995,10,11,Hungarian Grand Prix,1995-08-13 00:00:00,00:00:00,races_249
250,1995,11,13,Belgian Grand Prix,1995-08-27 00:00:00,00:00:00,races_250
251,1995,12,14,Italian Grand Prix,1995-09-10 00:00:00,00:00:00,races_251
252,1995,13,27,Portuguese Grand Prix,1995-09-24 00:00:00,00:00:00,races_252
253,1995,14,20,European Grand Prix,1995-10-01 00:00:00,00:00:00,races_253
254,1995,15,28,Pacific Grand Prix,1995-10-22 00:00:00,00:00:00,races_254
255,1995,16,22,Japanese Grand Prix,1995-10-29 00:00:00,00:00:00,races_255
256,1995,17,29,Australian Grand Prix,1995-11-12 00:00:00,00:00:00,races_256
257,1994,1,18,Brazilian Grand Prix,1994-03-27 00:00:00,00:00:00,races_257
258,1994,2,28,Pacific Grand Prix,1994-04-17 00:00:00,00:00:00,races_258
259,1994,3,21,San Marino Grand Prix,1994-05-01 00:00:00,00:00:00,races_259
260,1994,4,6,Monaco Grand Prix,1994-05-15 00:00:00,00:00:00,races_260
261,1994,5,4,Spanish Grand Prix,1994-05-29 00:00:00,00:00:00,races_261
262,1994,6,7,Canadian Grand Prix,1994-06-12 00:00:00,00:00:00,races_262
263,1994,7,8,French Grand Prix,1994-07-03 00:00:00,00:00:00,races_263
264,1994,8,9,British Grand Prix,1994-07-10 00:00:00,00:00:00,races_264
265,1994,9,10,German Grand Prix,1994-07-31 00:00:00,00:00:00,races_265
266,1994,10,11,Hungarian Grand Prix,1994-08-14 00:00:00,00:00:00,races_266
267,1994,11,13,Belgian Grand Prix,1994-08-28 00:00:00,00:00:00,races_267
268,1994,12,14,Italian Grand Prix,1994-09-11 00:00:00,00:00:00,races_268
269,1994,13,27,Portuguese Grand Prix,1994-09-25 00:00:00,00:00:00,races_269
270,1994,14,26,European Grand Prix,1994-10-16 00:00:00,00:00:00,races_270
271,1994,15,22,Japanese Grand Prix,1994-11-06 00:00:00,00:00:00,races_271
272,1994,16,29,Australian Grand Prix,1994-11-13 00:00:00,00:00:00,races_272
273,1993,1,30,South African Grand Prix,1993-03-14 00:00:00,00:00:00,races_273
274,1993,2,18,Brazilian Grand Prix,1993-03-28 00:00:00,00:00:00,races_274
275,1993,3,31,European Grand Prix,1993-04-11 00:00:00,00:00:00,races_275
276,1993,4,21,San Marino Grand Prix,1993-04-25 00:00:00,00:00:00,races_276
277,1993,5,4,Spanish Grand Prix,1993-05-09 00:00:00,00:00:00,races_277
278,1993,6,6,Monaco Grand Prix,1993-05-23 00:00:00,00:00:00,races_278
279,1993,7,7,Canadian Grand Prix,1993-06-13 00:00:00,00:00:00,races_279
280,1993,8,8,French Grand Prix,1993-07-04 00:00:00,00:00:00,races_280
281,1993,9,9,British Grand Prix,1993-07-11 00:00:00,00:00:00,races_281
282,1993,10,10,German Grand Prix,1993-07-25 00:00:00,00:00:00,races_282
283,1993,11,11,Hungarian Grand Prix,1993-08-15 00:00:00,00:00:00,races_283
284,1993,12,13,Belgian Grand Prix,1993-08-29 00:00:00,00:00:00,races_284
285,1993,13,14,Italian Grand Prix,1993-09-12 00:00:00,00:00:00,races_285
286,1993,14,27,Portuguese Grand Prix,1993-09-26 00:00:00,00:00:00,races_286
287,1993,15,22,Japanese Grand Prix,1993-10-24 00:00:00,00:00:00,races_287
288,1993,16,29,Australian Grand Prix,1993-11-07 00:00:00,00:00:00,races_288
289,1992,1,30,South African Grand Prix,1992-03-01 00:00:00,00:00:00,races_289
290,1992,2,32,Mexican Grand Prix,1992-03-22 00:00:00,00:00:00,races_290
291,1992,3,18,Brazilian Grand Prix,1992-04-05 00:00:00,00:00:00,races_291
292,1992,4,4,Spanish Grand Prix,1992-05-03 00:00:00,00:00:00,races_292
293,1992,5,21,San Marino Grand Prix,1992-05-17 00:00:00,00:00:00,races_293
294,1992,6,6,Monaco Grand Prix,1992-05-31 00:00:00,00:00:00,races_294
295,1992,7,7,Canadian Grand Prix,1992-06-14 00:00:00,00:00:00,races_295
296,1992,8,8,French Grand Prix,1992-07-05 00:00:00,00:00:00,races_296
297,1992,9,9,British Grand Prix,1992-07-12 00:00:00,00:00:00,races_297
298,1992,10,10,German Grand Prix,1992-07-26 00:00:00,00:00:00,races_298
299,1992,11,11,Hungarian Grand Prix,1992-08-16 00:00:00,00:00:00,races_299
300,1992,12,13,Belgian Grand Prix,1992-08-30 00:00:00,00:00:00,races_300
301,1992,13,14,Italian Grand Prix,1992-09-13 00:00:00,00:00:00,races_301
302,1992,14,27,Portuguese Grand Prix,1992-09-27 00:00:00,00:00:00,races_302
303,1992,15,22,Japanese Grand Prix,1992-10-25 00:00:00,00:00:00,races_303
304,1992,16,29,Australian Grand Prix,1992-11-08 00:00:00,00:00:00,races_304
305,1991,1,33,United States Grand Prix,1991-03-10 00:00:00,00:00:00,races_305
306,1991,2,18,Brazilian Grand Prix,1991-03-24 00:00:00,00:00:00,races_306
307,1991,3,21,San Marino Grand Prix,1991-04-28 00:00:00,00:00:00,races_307
308,1991,4,6,Monaco Grand Prix,1991-05-12 00:00:00,00:00:00,races_308
309,1991,5,7,Canadian Grand Prix,1991-06-02 00:00:00,00:00:00,races_309
310,1991,6,32,Mexican Grand Prix,1991-06-16 00:00:00,00:00:00,races_310
311,1991,7,8,French Grand Prix,1991-07-07 00:00:00,00:00:00,races_311
312,1991,8,9,British Grand Prix,1991-07-14 00:00:00,00:00:00,races_312
313,1991,9,10,German Grand Prix,1991-07-28 00:00:00,00:00:00,races_313
314,1991,10,11,Hungarian Grand Prix,1991-08-11 00:00:00,00:00:00,races_314
315,1991,11,13,Belgian Grand Prix,1991-08-25 00:00:00,00:00:00,races_315
316,1991,12,14,Italian Grand Prix,1991-09-08 00:00:00,00:00:00,races_316
317,1991,13,27,Portuguese Grand Prix,1991-09-22 00:00:00,00:00:00,races_317
318,1991,14,4,Spanish Grand Prix,1991-09-29 00:00:00,00:00:00,races_318
319,1991,15,22,Japanese Grand Prix,1991-10-20 00:00:00,00:00:00,races_319
320,1991,16,29,Australian Grand Prix,1991-11-03 00:00:00,00:00:00,races_320
321,1990,1,33,United States Grand Prix,1990-03-11 00:00:00,00:00:00,races_321
322,1990,2,18,Brazilian Grand Prix,1990-03-25 00:00:00,00:00:00,races_322
323,1990,3,21,San Marino Grand Prix,1990-05-13 00:00:00,00:00:00,races_323
324,1990,4,6,Monaco Grand Prix,1990-05-27 00:00:00,00:00:00,races_324
325,1990,5,7,Canadian Grand Prix,1990-06-10 00:00:00,00:00:00,races_325
326,1990,6,32,Mexican Grand Prix,1990-06-24 00:00:00,00:00:00,races_326
327,1990,7,34,French Grand Prix,1990-07-08 00:00:00,00:00:00,races_327
328,1990,8,9,British Grand Prix,1990-07-15 00:00:00,00:00:00,races_328
329,1990,9,10,German Grand Prix,1990-07-29 00:00:00,00:00:00,races_329
