constructorStandingsId,raceId,constructorId,points,position,wins,date,constructor_standings_rownum
171,33,8,0.0,11,0,2008-10-12 04:30:00,constructor_standings_171
1643,34,8,0.0,11,0,2008-10-19 07:00:00,constructor_standings_172
1642,34,10,0.0,10,0,2008-10-19 07:00:00,constructor_standings_173
1641,34,11,14.0,9,0,2008-10-19 07:00:00,constructor_standings_174
1640,34,9,29.0,7,0,2008-10-19 07:00:00,constructor_standings_175
1639,34,7,52.0,5,0,2008-10-19 07:00:00,constructor_standings_176
1638,34,6,156.0,1,7,2008-10-19 07:00:00,constructor_standings_177
1637,34,5,34.0,6,1,2008-10-19 07:00:00,constructor_standings_178
1636,34,4,72.0,4,2,2008-10-19 07:00:00,constructor_standings_179
1635,34,3,26.0,8,0,2008-10-19 07:00:00,constructor_standings_180
1634,34,2,135.0,3,1,2008-10-19 07:00:00,constructor_standings_181
1633,34,1,145.0,2,6,2008-10-19 07:00:00,constructor_standings_182
183,35,1,151.0,2,6,2008-11-02 17:00:00,constructor_standings_183
184,35,2,135.0,3,1,2008-11-02 17:00:00,constructor_standings_184
185,35,3,26.0,8,0,2008-11-02 17:00:00,constructor_standings_185
186,35,4,80.0,4,2,2008-11-02 17:00:00,constructor_standings_186
187,35,5,39.0,6,1,2008-11-02 17:00:00,constructor_standings_187
188,35,6,172.0,1,8,2008-11-02 17:00:00,constructor_standings_188
189,35,7,56.0,5,0,2008-11-02 17:00:00,constructor_standings_189
190,35,9,29.0,7,0,2008-11-02 17:00:00,constructor_standings_190
191,35,11,14.0,9,0,2008-11-02 17:00:00,constructor_standings_191
192,35,10,0.0,10,0,2008-11-02 17:00:00,constructor_standings_192
193,35,8,0.0,11,0,2008-11-02 17:00:00,constructor_standings_193
25742,36,5,0.0,9,0,2007-03-18 03:00:00,constructor_standings_194
25741,36,9,0.0,8,0,2007-03-18 03:00:00,constructor_standings_195
25740,36,8,0.0,7,0,2007-03-18 03:00:00,constructor_standings_196
25739,36,11,0.0,6,0,2007-03-18 03:00:00,constructor_standings_197
25738,36,7,1.0,5,0,2007-03-18 03:00:00,constructor_standings_198
25737,36,3,2.0,4,0,2007-03-18 03:00:00,constructor_standings_199
25736,36,4,4.0,3,0,2007-03-18 03:00:00,constructor_standings_200
25735,36,2,5.0,2,0,2007-03-18 03:00:00,constructor_standings_201
25753,37,5,0.0,9,0,2007-04-08 07:00:00,constructor_standings_202
25752,37,9,0.0,6,0,2007-04-08 07:00:00,constructor_standings_203
25751,37,8,0.0,8,0,2007-04-08 07:00:00,constructor_standings_204
25750,37,11,0.0,7,0,2007-04-08 07:00:00,constructor_standings_205
25749,37,7,3.0,4,0,2007-04-08 07:00:00,constructor_standings_206
25748,37,3,2.0,5,0,2007-04-08 07:00:00,constructor_standings_207
25747,37,4,8.0,3,0,2007-04-08 07:00:00,constructor_standings_208
25746,37,2,10.0,2,0,2007-04-08 07:00:00,constructor_standings_209
25764,38,5,0.0,9,0,2007-04-15 11:30:00,constructor_standings_210
25763,38,9,0.0,6,0,2007-04-15 11:30:00,constructor_standings_211
25762,38,8,0.0,8,0,2007-04-15 11:30:00,constructor_standings_212
25761,38,11,0.0,7,0,2007-04-15 11:30:00,constructor_standings_213
25760,38,7,5.0,4,0,2007-04-15 11:30:00,constructor_standings_214
25759,38,3,2.0,5,0,2007-04-15 11:30:00,constructor_standings_215
25758,38,4,9.0,3,0,2007-04-15 11:30:00,constructor_standings_216
25757,38,2,18.0,2,0,2007-04-15 11:30:00,constructor_standings_217
25756,38,1,44.0,11,1,2007-04-15 11:30:00,constructor_standings_218
25755,38,6,39.0,1,2,2007-04-15 11:30:00,constructor_standings_219
25775,39,5,0.0,10,0,2007-05-13 12:00:00,constructor_standings_220
25774,39,9,4.0,6,0,2007-05-13 12:00:00,constructor_standings_221
25773,39,8,1.0,7,0,2007-05-13 12:00:00,constructor_standings_222
25772,39,11,0.0,8,0,2007-05-13 12:00:00,constructor_standings_223
25771,39,7,5.0,5,0,2007-05-13 12:00:00,constructor_standings_224
25770,39,3,5.0,4,0,2007-05-13 12:00:00,constructor_standings_225
25769,39,4,11.0,3,0,2007-05-13 12:00:00,constructor_standings_226
25768,39,2,23.0,2,0,2007-05-13 12:00:00,constructor_standings_227
25767,39,1,58.0,11,1,2007-05-13 12:00:00,constructor_standings_228
25786,40,5,0.0,8,0,2007-05-27 12:00:00,constructor_standings_229
25785,40,9,4.0,6,0,2007-05-27 12:00:00,constructor_standings_230
25784,40,8,1.0,7,0,2007-05-27 12:00:00,constructor_standings_231
25783,40,11,0.0,9,0,2007-05-27 12:00:00,constructor_standings_232
25782,40,7,5.0,5,0,2007-05-27 12:00:00,constructor_standings_233
25781,40,3,7.0,4,0,2007-05-27 12:00:00,constructor_standings_234
25780,40,4,16.0,3,0,2007-05-27 12:00:00,constructor_standings_235
25779,40,2,30.0,2,0,2007-05-27 12:00:00,constructor_standings_236
25778,40,1,76.0,11,2,2007-05-27 12:00:00,constructor_standings_237
25797,41,5,0.0,8,0,2007-06-10 17:00:00,constructor_standings_238
25796,41,9,4.0,6,0,2007-06-10 17:00:00,constructor_standings_239
25795,41,8,4.0,7,0,2007-06-10 17:00:00,constructor_standings_240
25794,41,11,0.0,9,0,2007-06-10 17:00:00,constructor_standings_241
25793,41,7,6.0,5,0,2007-06-10 17:00:00,constructor_standings_242
25792,41,3,13.0,4,0,2007-06-10 17:00:00,constructor_standings_243
25791,41,4,21.0,3,0,2007-06-10 17:00:00,constructor_standings_244
25790,41,2,38.0,2,0,2007-06-10 17:00:00,constructor_standings_245
25789,41,1,88.0,11,3,2007-06-10 17:00:00,constructor_standings_246
25808,42,5,0.0,8,0,2007-06-17 17:00:00,constructor_standings_247
25807,42,9,6.0,6,0,2007-06-17 17:00:00,constructor_standings_248
25806,42,8,4.0,7,0,2007-06-17 17:00:00,constructor_standings_249
25805,42,11,0.0,9,0,2007-06-17 17:00:00,constructor_standings_250
25804,42,7,9.0,5,0,2007-06-17 17:00:00,constructor_standings_251
25803,42,3,13.0,4,0,2007-06-17 17:00:00,constructor_standings_252
25802,42,4,25.0,3,0,2007-06-17 17:00:00,constructor_standings_253
25801,42,2,39.0,2,0,2007-06-17 17:00:00,constructor_standings_254
25800,42,1,106.0,11,4,2007-06-17 17:00:00,constructor_standings_255
25819,43,5,0.0,9,0,2007-07-01 12:00:00,constructor_standings_256
25818,43,9,6.0,6,0,2007-07-01 12:00:00,constructor_standings_257
25817,43,8,4.0,7,0,2007-07-01 12:00:00,constructor_standings_258
25816,43,11,1.0,8,0,2007-07-01 12:00:00,constructor_standings_259
25815,43,7,9.0,5,0,2007-07-01 12:00:00,constructor_standings_260
25814,43,3,13.0,4,0,2007-07-01 12:00:00,constructor_standings_261
25813,43,4,28.0,3,0,2007-07-01 12:00:00,constructor_standings_262
25812,43,2,48.0,2,0,2007-07-01 12:00:00,constructor_standings_263
25811,43,1,114.0,11,4,2007-07-01 12:00:00,constructor_standings_264
25830,44,5,0.0,9,0,2007-07-08 12:00:00,constructor_standings_265
25829,44,9,6.0,6,0,2007-07-08 12:00:00,constructor_standings_266
25828,44,8,4.0,7,0,2007-07-08 12:00:00,constructor_standings_267
25827,44,11,1.0,8,0,2007-07-08 12:00:00,constructor_standings_268
25826,44,7,9.0,5,0,2007-07-08 12:00:00,constructor_standings_269
25825,44,3,13.0,4,0,2007-07-08 12:00:00,constructor_standings_270
25824,44,4,31.0,3,0,2007-07-08 12:00:00,constructor_standings_271
25823,44,2,56.0,2,0,2007-07-08 12:00:00,constructor_standings_272
25822,44,1,128.0,11,5,2007-07-08 12:00:00,constructor_standings_273
25841,45,5,0.0,9,0,2007-07-22 12:00:00,constructor_standings_274
25840,45,9,16.0,5,0,2007-07-22 12:00:00,constructor_standings_275
25839,45,8,4.0,7,0,2007-07-22 12:00:00,constructor_standings_276
25838,45,11,1.0,8,0,2007-07-22 12:00:00,constructor_standings_277
25837,45,7,9.0,6,0,2007-07-22 12:00:00,constructor_standings_278
25836,45,3,18.0,4,0,2007-07-22 12:00:00,constructor_standings_279
25835,45,4,32.0,3,0,2007-07-22 12:00:00,constructor_standings_280
25834,45,2,61.0,2,0,2007-07-22 12:00:00,constructor_standings_281
25833,45,1,138.0,11,5,2007-07-22 12:00:00,constructor_standings_282
25852,46,5,0.0,9,0,2007-08-05 12:00:00,constructor_standings_283
25851,46,9,16.0,5,0,2007-08-05 12:00:00,constructor_standings_284
25850,46,8,4.0,7,0,2007-08-05 12:00:00,constructor_standings_285
25849,46,11,1.0,8,0,2007-08-05 12:00:00,constructor_standings_286
25848,46,7,12.0,6,0,2007-08-05 12:00:00,constructor_standings_287
25847,46,3,20.0,4,0,2007-08-05 12:00:00,constructor_standings_288
25846,46,4,33.0,3,0,2007-08-05 12:00:00,constructor_standings_289
25845,46,2,71.0,2,0,2007-08-05 12:00:00,constructor_standings_290
25844,46,1,138.0,11,6,2007-08-05 12:00:00,constructor_standings_291
25863,47,5,0.0,9,0,2007-08-26 12:00:00,constructor_standings_292
25862,47,9,16.0,5,0,2007-08-26 12:00:00,constructor_standings_293
25861,47,8,4.0,7,0,2007-08-26 12:00:00,constructor_standings_294
25860,47,11,1.0,8,0,2007-08-26 12:00:00,constructor_standings_295
25859,47,7,12.0,6,0,2007-08-26 12:00:00,constructor_standings_296
25858,47,3,22.0,4,0,2007-08-26 12:00:00,constructor_standings_297
25857,47,4,36.0,3,0,2007-08-26 12:00:00,constructor_standings_298
25856,47,2,77.0,2,0,2007-08-26 12:00:00,constructor_standings_299
25855,47,1,148.0,11,6,2007-08-26 12:00:00,constructor_standings_300
25874,48,5,0.0,9,0,2007-09-09 12:00:00,constructor_standings_301
25873,48,9,16.0,5,0,2007-09-09 12:00:00,constructor_standings_302
25872,48,8,4.0,7,0,2007-09-09 12:00:00,constructor_standings_303
25871,48,11,2.0,8,0,2007-09-09 12:00:00,constructor_standings_304
25870,48,7,12.0,6,0,2007-09-09 12:00:00,constructor_standings_305
25869,48,3,25.0,4,0,2007-09-09 12:00:00,constructor_standings_306
25868,48,4,38.0,3,0,2007-09-09 12:00:00,constructor_standings_307
25867,48,2,86.0,2,0,2007-09-09 12:00:00,constructor_standings_308
25866,48,1,166.0,11,7,2007-09-09 12:00:00,constructor_standings_309
25885,49,5,0.0,9,0,2007-09-16 12:00:00,constructor_standings_310
25884,49,9,18.0,5,0,2007-09-16 12:00:00,constructor_standings_311
25883,49,8,4.0,7,0,2007-09-16 12:00:00,constructor_standings_312
25882,49,11,2.0,8,0,2007-09-16 12:00:00,constructor_standings_313
25881,49,7,12.0,6,0,2007-09-16 12:00:00,constructor_standings_314
25880,49,3,28.0,4,0,2007-09-16 12:00:00,constructor_standings_315
25879,49,4,39.0,3,0,2007-09-16 12:00:00,constructor_standings_316
25878,49,2,90.0,2,0,2007-09-16 12:00:00,constructor_standings_317
25877,49,1,192.0,11,7,2007-09-16 12:00:00,constructor_standings_318
25896,50,5,0.0,10,0,2007-09-30 04:30:00,constructor_standings_319
25895,50,9,23.0,5,0,2007-09-30 04:30:00,constructor_standings_320
25894,50,8,4.0,7,0,2007-09-30 04:30:00,constructor_standings_321
25893,50,11,2.0,8,0,2007-09-30 04:30:00,constructor_standings_322
25892,50,7,12.0,6,0,2007-09-30 04:30:00,constructor_standings_323
25891,50,3,28.0,4,0,2007-09-30 04:30:00,constructor_standings_324
25890,50,4,51.0,3,0,2007-09-30 04:30:00,constructor_standings_325
25889,50,2,92.0,2,0,2007-09-30 04:30:00,constructor_standings_326
25888,50,1,202.0,11,8,2007-09-30 04:30:00,constructor_standings_327
25907,51,5,8.0,7,0,2007-10-07 06:00:00,constructor_standings_328
25906,51,9,24.0,5,0,2007-10-07 06:00:00,constructor_standings_329
25905,51,8,4.0,9,0,2007-10-07 06:00:00,constructor_standings_330
25904,51,11,6.0,8,0,2007-10-07 06:00:00,constructor_standings_331
25903,51,7,12.0,6,0,2007-10-07 06:00:00,constructor_standings_332
25902,51,3,28.0,4,0,2007-10-07 06:00:00,constructor_standings_333
25901,51,4,51.0,3,0,2007-10-07 06:00:00,constructor_standings_334
25900,51,2,94.0,2,0,2007-10-07 06:00:00,constructor_standings_335
25899,51,1,210.0,11,8,2007-10-07 06:00:00,constructor_standings_336
25918,52,5,8.0,7,0,2007-10-21 16:00:00,constructor_standings_337
25917,52,9,24.0,5,0,2007-10-21 16:00:00,constructor_standings_338
25916,52,8,4.0,9,0,2007-10-21 16:00:00,constructor_standings_339
25915,52,11,6.0,8,0,2007-10-21 16:00:00,constructor_standings_340
25914,52,7,13.0,6,0,2007-10-21 16:00:00,constructor_standings_341
25913,52,3,33.0,4,0,2007-10-21 16:00:00,constructor_standings_342
25912,52,4,51.0,3,0,2007-10-21 16:00:00,constructor_standings_343
25911,52,2,101.0,2,0,2007-10-21 16:00:00,constructor_standings_344
25910,52,1,218.0,11,8,2007-10-21 16:00:00,constructor_standings_345
6327,53,8,0.0,11,0,2006-03-12 14:30:00,constructor_standings_346
6326,53,13,0.0,10,0,2006-03-12 14:30:00,constructor_standings_347
6325,53,7,0.0,9,0,2006-03-12 14:30:00,constructor_standings_348
6324,53,2,0.0,8,0,2006-03-12 14:30:00,constructor_standings_349
6323,53,5,0.0,7,0,2006-03-12 14:30:00,constructor_standings_350
6322,53,9,1.0,6,0,2006-03-12 14:30:00,constructor_standings_351
6321,53,3,5.0,5,0,2006-03-12 14:30:00,constructor_standings_352
6320,53,11,5.0,4,0,2006-03-12 14:30:00,constructor_standings_353
6319,53,1,10.0,2,0,2006-03-12 14:30:00,constructor_standings_354
6318,53,6,8.0,3,0,2006-03-12 14:30:00,constructor_standings_355
6317,53,4,10.0,1,1,2006-03-12 14:30:00,constructor_standings_356
6338,54,8,0.0,11,0,2006-03-19 15:00:00,constructor_standings_357
6337,54,13,0.0,10,0,2006-03-19 15:00:00,constructor_standings_358
6336,54,7,1.0,7,0,2006-03-19 15:00:00,constructor_standings_359
6335,54,2,2.0,6,0,2006-03-19 15:00:00,constructor_standings_360
6334,54,5,0.0,9,0,2006-03-19 15:00:00,constructor_standings_361
6333,54,9,1.0,8,0,2006-03-19 15:00:00,constructor_standings_362
6332,54,3,5.0,5,0,2006-03-19 15:00:00,constructor_standings_363
6331,54,11,11.0,4,0,2006-03-19 15:00:00,constructor_standings_364
6330,54,1,15.0,3,0,2006-03-19 15:00:00,constructor_standings_365
6329,54,6,15.0,2,0,2006-03-19 15:00:00,constructor_standings_366
6328,54,4,28.0,1,2,2006-03-19 15:00:00,constructor_standings_367
6349,55,8,0.0,11,0,2006-04-02 14:00:00,constructor_standings_368
6348,55,13,0.0,10,0,2006-04-02 14:00:00,constructor_standings_369
6347,55,7,7.0,6,0,2006-04-02 14:00:00,constructor_standings_370
6346,55,2,10.0,5,0,2006-04-02 14:00:00,constructor_standings_371
6345,55,5,0.0,9,0,2006-04-02 14:00:00,constructor_standings_372
6344,55,9,2.0,8,0,2006-04-02 14:00:00,constructor_standings_373
6343,55,3,5.0,7,0,2006-04-02 14:00:00,constructor_standings_374
6342,55,11,13.0,4,0,2006-04-02 14:00:00,constructor_standings_375
6341,55,1,23.0,2,0,2006-04-02 14:00:00,constructor_standings_376
6340,55,6,15.0,3,0,2006-04-02 14:00:00,constructor_standings_377
6339,55,4,42.0,1,3,2006-04-02 14:00:00,constructor_standings_378
6360,56,8,0.0,11,0,2006-04-23 14:00:00,constructor_standings_379
6359,56,13,0.0,10,0,2006-04-23 14:00:00,constructor_standings_380
6358,56,7,7.0,7,0,2006-04-23 14:00:00,constructor_standings_381
