orders_rownum|o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment
orders_16691|66662|2483|O|111367.94|1996-09-27|2-HIGH         |Clerk#000000731|0|ix around the final,
orders_16837|67264|5852|F|273828.88|1993-04-21|1-URGENT       |Clerk#000000715|0| packages integrate 
orders_17045|68096|9091|F|172360.64|1992-06-04|5-LOW          |Clerk#000000538|0|eposits sleep slyly after the regular
orders_17128|68419|6898|F|129356.50|1993-02-12|4-NOT SPECIFIED|Clerk#000000174|0|es are furiously sil
orders_17161|68548|8008|F|318157.66|1994-10-05|1-URGENT       |Clerk#000000229|0|nal requests breach c
orders_17512|69955|872|F|150745.22|1995-04-01|2-HIGH         |Clerk#000000079|0|efully? quickly pending
orders_17614|70369|994|O|168864.46|1998-05-22|2-HIGH         |Clerk#000000875|0|luffily express ide
orders_18503|73922|12431|O|23440.21|1996-11-06|4-NOT SPECIFIED|Clerk#000000750|0|ggle unusual, silen
orders_18705|74724|11903|O|155521.32|1996-01-13|2-HIGH         |Clerk#000000874|0|requests. requests use
orders_19057|76132|14782|F|124087.51|1992-03-31|5-LOW          |Clerk#000000941|0|xpress ideas are carefully. slyly 
orders_19158|76545|755|F|288606.69|1994-04-06|5-LOW          |Clerk#000000837|0|across the slyly even requests. final accounts ha
orders_19274|76997|10975|O|80255.77|1995-06-28|5-LOW          |Clerk#000000749|0|ross the furiously pe
orders_19421|77600|10816|O|33679.76|1996-09-16|4-NOT SPECIFIED|Clerk#000000834|0|es. quickly pending
orders_19623|78402|6187|F|135641.44|1994-01-11|2-HIGH         |Clerk#000000703|0|p. quickly ironic deposits cajole furiously ex
orders_20137|80453|9085|F|128343.38|1993-10-13|2-HIGH         |Clerk#000000234|0|ways. requests detec
orders_20507|81927|14909|F|188060.33|1994-01-01|5-LOW          |Clerk#000000645|0|? furiously bold accounts aff
orders_20650|82502|11062|O|206642.76|1996-10-12|4-NOT SPECIFIED|Clerk#000000460|0|ndencies wake slyly 
orders_21168|84580|8704|O|13139.90|1995-12-11|5-LOW          |Clerk#000000685|0|ve the carefully re
orders_21581|86241|8284|F|68014.50|1992-04-12|4-NOT SPECIFIED|Clerk#000000474|0|heodolites sleep bli
orders_21788|87072|12739|O|151233.94|1997-10-10|3-MEDIUM       |Clerk#000000351|0|oxes. blithely pending package
orders_22318|89186|605|O|76939.46|1997-07-11|2-HIGH         |Clerk#000000345|0|quests wake around 
orders_23078|92226|5032|O|161890.46|1996-01-11|4-NOT SPECIFIED|Clerk#000000287|0|tes. accounts boost qu
orders_23854|95330|68|F|25848.21|1994-04-20|3-MEDIUM       |Clerk#000000516|0|bold deposits nag quic
orders_24568|98180|6266|F|114802.78|1993-01-22|5-LOW          |Clerk#000000170|0|structions are quickly regular requests. furiously pen
orders_25189|100673|10066|O|75169.39|1998-01-02|1-URGENT       |Clerk#000000242|0|e blithely regular depe
orders_25393|101477|11605|F|187439.76|1994-12-01|5-LOW          |Clerk#000000665|0|s. express accounts boost packages. slyly ir
orders_25634|102438|985|O|54295.17|1996-11-11|4-NOT SPECIFIED|Clerk#000000962|0| slyly ironic platele
orders_25828|103232|10006|F|93274.00|1992-05-14|3-MEDIUM       |Clerk#000000918|0|iously pending platele
orders_26012|103968|8947|O|40884.95|1996-05-19|1-URGENT       |Clerk#000000390|0|s. furious, even warhorses cajole ir
orders_27320|109188|1390|F|203937.68|1995-03-14|1-URGENT       |Clerk#000000992|0|ymptotes are furiously even, eve
orders_27817|111173|6895|F|83067.77|1993-02-15|3-MEDIUM       |Clerk#000000875|0|egular requests maintain furiously. slyly
orders_27919|111587|14056|F|106187.25|1994-04-13|4-NOT SPECIFIED|Clerk#000000608|0|lar packages against 
orders_29052|116128|8126|F|330356.86|1992-02-16|2-HIGH         |Clerk#000000963|0|yly across the cour
orders_29151|116515|14710|O|194555.98|1995-09-29|3-MEDIUM       |Clerk#000000061|0| even dependencies sle
orders_29766|118978|2410|F|150322.95|1995-03-06|4-NOT SPECIFIED|Clerk#000000022|0|ously pending ideas detect acc
orders_29865|119365|251|F|55777.22|1992-05-16|2-HIGH         |Clerk#000000649|0|depths are furiously alongside of the 
orders_29921|119589|7513|O|196325.85|1996-12-01|4-NOT SPECIFIED|Clerk#000000501|0|requests. quickly regular
orders_30277|121025|5315|F|98310.54|1993-02-12|3-MEDIUM       |Clerk#000000294|0|lyly express theodolites sleep quickl
orders_31308|125153|14242|F|55143.27|1993-12-01|4-NOT SPECIFIED|Clerk#000000039|0|sly even foxes. blithely f
orders_31826|127207|5656|O|186796.94|1996-11-04|1-URGENT       |Clerk#000000790|0|sleep alongside of the ca
orders_32029|128034|2185|F|144389.07|1992-07-11|3-MEDIUM       |Clerk#000000016|0|the ironic pinto bean
orders_32285|129058|13711|O|142836.12|1995-11-05|2-HIGH         |Clerk#000000342|0| express courts sleep sly
orders_32502|129923|7906|F|318577.60|1994-02-05|2-HIGH         |Clerk#000000973|0| haggle across the fox
orders_32600|130309|10283|O|85119.97|1996-05-08|1-URGENT       |Clerk#000000159|0|! final deposits unwind caref
orders_33209|132742|14543|F|353388.02|1994-12-01|4-NOT SPECIFIED|Clerk#000000256|0|y special requests wake. carefully busy accounts integrate eve
orders_33873|135396|7093|O|51016.13|1995-09-27|2-HIGH         |Clerk#000000763|0|he blithely ironic dep
orders_34715|138785|11728|O|158970.63|1997-10-05|1-URGENT       |Clerk#000000472|0|final ideas thrash q
orders_35310|141156|13793|F|178017.45|1992-02-04|5-LOW          |Clerk#000000759|0|r tithes. slyly regular reques
orders_35417|141575|3445|O|181789.40|1997-08-31|5-LOW          |Clerk#000000500|0|ally even instructions aff
orders_35567|142181|3035|F|174279.04|1992-02-13|3-MEDIUM       |Clerk#000000090|0|x slyly according to the even
orders_36031|144037|8107|O|47669.57|1998-01-16|2-HIGH         |Clerk#000000960|0| blithely ironic dugouts along th
orders_36654|146530|842|F|208794.44|1992-06-01|4-NOT SPECIFIED|Clerk#000000075|0|osits sleep slyly. sly
orders_36705|146725|2701|F|85083.86|1993-11-28|5-LOW          |Clerk#000000486|0|sides the final pin
orders_39136|156454|12754|O|131556.18|1996-10-09|3-MEDIUM       |Clerk#000000439|0|s. bold, express asymptotes a
orders_40434|161664|929|O|121141.51|1998-03-31|2-HIGH         |Clerk#000000708|0| blithely unusual id
orders_40658|162560|13700|O|204174.39|1996-03-03|2-HIGH         |Clerk#000000878|0|kly express deposit
orders_40667|162593|11849|O|202636.57|1996-01-15|4-NOT SPECIFIED|Clerk#000000309|0|use ironic excuses. q
orders_40873|163399|3667|F|25380.04|1994-08-12|4-NOT SPECIFIED|Clerk#000000667|0|final accounts instead of the q
orders_41179|164641|13504|F|175361.29|1993-02-10|5-LOW          |Clerk#000000453|0| slyly unusual forges. pending 
orders_41971|167809|11815|F|242926.25|1993-06-13|1-URGENT       |Clerk#000000660|0|are blithely carefull
orders_42261|168963|3496|O|97408.99|1996-10-22|3-MEDIUM       |Clerk#000000132|0|y ironic theodolites wake 
orders_42527|170021|6487|O|62149.20|1997-04-06|2-HIGH         |Clerk#000000072|0|posits cajole quickl
orders_43192|172678|12251|F|99655.24|1992-01-18|3-MEDIUM       |Clerk#000000224|0|e quickly against the c
orders_43761|174951|2167|F|190662.83|1993-05-04|5-LOW          |Clerk#000000898|0| final pinto beans.
orders_43915|175585|7265|O|183418.39|1997-12-05|2-HIGH         |Clerk#000000827|0|areful instructions. permanentl
orders_44948|179714|4586|F|262051.12|1993-12-31|5-LOW          |Clerk#000000834|0|ymptotes. even dependencie
orders_45053|180131|6217|F|257353.88|1994-09-29|1-URGENT       |Clerk#000000508|0|egular instructions affix 
orders_45109|180355|4828|F|59751.00|1992-09-02|2-HIGH         |Clerk#000000513|0|g decoys. quickly unu
orders_45256|180934|6818|F|230536.22|1993-04-21|1-URGENT       |Clerk#000000328|0|ruthless Tiresias are quickly amon
orders_45510|181956|3400|F|226722.84|1992-11-15|4-NOT SPECIFIED|Clerk#000000276|0|eans wake quickly carefully bol
orders_46183|184645|4207|O|133497.26|1996-11-14|4-NOT SPECIFIED|Clerk#000000063|0| final, unusual asymptote
orders_46333|185251|9569|O|292222.11|1996-12-10|2-HIGH         |Clerk#000000829|0| special instructions a
orders_46951|187717|8845|F|82319.15|1993-07-30|5-LOW          |Clerk#000000584|0|sly blithely regular waters. 
orders_47107|188353|214|O|145056.23|1997-04-10|5-LOW          |Clerk#000000888|0| requests above the pending d
orders_47259|188961|2350|F|166245.59|1995-02-03|1-URGENT       |Clerk#000000562|0|efully pending pinto
orders_47509|189955|12757|O|126031.45|1996-01-15|3-MEDIUM       |Clerk#000000334|0| instructions; blit
orders_48441|193671|14899|O|130442.77|1996-05-26|5-LOW          |Clerk#000000339|0|ong the ironic requests.
orders_48595|194305|13846|O|227359.46|1998-04-21|1-URGENT       |Clerk#000000957|0|ing, express packages 
orders_48703|194725|13780|F|143716.39|1992-09-15|1-URGENT       |Clerk#000000175|0| deposits affix above
orders_49062|196164|8434|F|161693.72|1993-01-17|5-LOW          |Clerk#000000813|0|iously special asym
orders_49426|197632|3500|O|61113.64|1996-01-26|4-NOT SPECIFIED|Clerk#000000709|0|ns against the slyly ironic dep
orders_50240|200870|2111|F|146953.96|1992-11-02|1-URGENT       |Clerk#000000320|0| final pinto beans. c
orders_50257|200935|14861|O|137436.36|1997-01-09|5-LOW          |Clerk#000000325|0|packages boost. slyly
orders_51337|205255|698|F|188559.82|1993-10-20|4-NOT SPECIFIED|Clerk#000000449|0|y regular packages. pending, e
orders_52267|208993|4550|F|30069.58|1994-05-16|2-HIGH         |Clerk#000000170|0|jole at the slyly reg
orders_52368|209382|2890|O|143145.02|1996-10-10|1-URGENT       |Clerk#000000629|0|le. excuses haggle slyly about the carefully
orders_53402|213536|5830|O|149446.32|1998-07-05|2-HIGH         |Clerk#000000658|0| courts. express, regular ideas 
orders_53455|213733|10937|O|252174.02|1995-08-25|2-HIGH         |Clerk#000000816|0|leep after the expre
orders_53859|215361|8254|F|111129.89|1992-12-16|5-LOW          |Clerk#000000459|0|ideas would are quickly accordin
orders_54947|219713|8504|P|227453.99|1995-05-27|2-HIGH         |Clerk#000000797|0|ains are carefully even theodolites. eve
orders_54994|219904|12616|F|105116.79|1992-09-13|4-NOT SPECIFIED|Clerk#000000923|0|posits. final packages x-
orders_56547|226115|10334|O|155021.85|1996-12-09|5-LOW          |Clerk#000000488|0|y. furiously unusual pear
orders_57114|228386|5428|F|159560.83|1992-11-11|3-MEDIUM       |Clerk#000000767|0|to beans nag blithely-- regu
orders_57267|228995|8518|F|151443.85|1993-12-23|1-URGENT       |Clerk#000000284|0|aringly ironic multipliers. unusual deposit
orders_57420|229604|4582|F|165130.60|1993-09-13|3-MEDIUM       |Clerk#000000665|0|ans cajole slyly. quiet, silent packa
orders_58098|232322|6866|O|26582.66|1997-05-12|4-NOT SPECIFIED|Clerk#000000166|0|boost quickly blith
orders_58157|232549|5785|O|221020.73|1997-09-26|5-LOW          |Clerk#000000307|0|luffily express pint
orders_58202|232738|4789|O|25600.83|1995-10-12|4-NOT SPECIFIED|Clerk#000000708|0|blithely idle package
orders_58272|233024|14228|F|316464.22|1992-11-25|2-HIGH         |Clerk#000000013|0|pendencies engage fluf
orders_58718|234790|9754|O|138311.91|1997-07-28|2-HIGH         |Clerk#000000788|0|inal accounts. blithely bold 
orders_58760|234976|4747|F|73492.37|1993-10-23|3-MEDIUM       |Clerk#000000454|0|ffily above the fluffily expr
orders_59489|237889|4696|F|133661.15|1993-09-09|4-NOT SPECIFIED|Clerk#000000731|0|ic packages nag blithely. carefully un
orders_59580|238244|745|F|100331.21|1993-12-25|1-URGENT       |Clerk#000000096|0|xes haggle slyly against the i
orders_59629|238437|2578|F|59301.56|1994-02-09|2-HIGH         |Clerk#000000103|0|he furiously thin instructions. furiously iron
orders_59987|239875|8948|P|195536.97|1995-04-16|2-HIGH         |Clerk#000000972|0|yly. quickly even instructions ar
orders_60211|240771|12040|P|248226.80|1995-05-12|3-MEDIUM       |Clerk#000000202|0|. carefully final re
orders_60449|241729|7246|O|123751.53|1995-05-15|3-MEDIUM       |Clerk#000000825|0|uffily bold foxes. slyly regular
orders_60962|243778|6554|F|130927.99|1992-03-21|3-MEDIUM       |Clerk#000000374|0|, ironic ideas. furiously silent instr
orders_61217|244801|10973|O|123244.73|1996-01-14|4-NOT SPECIFIED|Clerk#000000077|0| boldly slyly regular acco
orders_61527|246023|9389|F|196355.90|1993-10-30|1-URGENT       |Clerk#000000116|0|regular, express deposits. silent asymptot
orders_61632|246464|283|F|139423.03|1992-11-29|1-URGENT       |Clerk#000000445|0| haggle furiously quic
orders_62205|248740|1609|F|207533.04|1994-05-15|2-HIGH         |Clerk#000000757|0|. blithely brave re
orders_62408|249543|10069|F|203985.56|1993-10-24|2-HIGH         |Clerk#000000285|0|ound the slyly regula
orders_62473|249824|6328|F|111287.26|1994-02-13|3-MEDIUM       |Clerk#000000256|0|al deposits. carefu
orders_62557|250148|11515|O|246078.99|1996-01-10|1-URGENT       |Clerk#000000665|0|hely slow platelets. sly
orders_63226|252833|8728|F|41649.49|1994-03-12|5-LOW          |Clerk#000000671|0|l theodolites. fluffil
orders_64150|256544|12040|O|22949.57|1997-06-11|1-URGENT       |Clerk#000000723|0|final theodolites. quickly e
orders_64297|257123|14783|F|222137.27|1993-02-16|4-NOT SPECIFIED|Clerk#000000207|0|riously regular pint
orders_65380|261446|310|O|45564.84|1997-01-04|3-MEDIUM       |Clerk#000000490|0| slyly after the carefully 
orders_65640|262498|1117|O|77709.33|1996-08-13|5-LOW          |Clerk#000000075|0|uickly even platelets
orders_65689|262691|8519|F|37081.66|1993-08-23|3-MEDIUM       |Clerk#000000837|0|eep outside the sly
orders_65846|263328|10690|O|185144.62|1996-05-06|2-HIGH         |Clerk#000000479|0| haggle slyly along the qui
orders_66105|264355|7747|O|156269.78|1997-03-02|4-NOT SPECIFIED|Clerk#000000930|0| special requests h
orders_66264|264994|7066|F|130869.04|1992-04-14|1-URGENT       |Clerk#000000197|0| the unusual packag
orders_66510|265984|4007|F|209083.19|1992-10-10|5-LOW          |Clerk#000000373|0|ully regular foxes hinder alongside of the careful p
orders_66869|267399|4696|O|239102.42|1998-07-13|1-URGENT       |Clerk#000000905|0|y pending packages sleep fu
orders_66921|267619|1840|F|216205.78|1995-02-02|4-NOT SPECIFIED|Clerk#000000597|0|tructions. carefully regular dolphins haggle.
orders_67077|268231|12985|F|148542.57|1992-03-14|3-MEDIUM       |Clerk#000000980|0|lets boost carefully bold, ev
orders_67177|268643|10889|F|280209.40|1992-05-31|3-MEDIUM       |Clerk#000000699|0|y regular theodolites about the special 
orders_67437|269671|11944|F|184006.85|1994-10-20|3-MEDIUM       |Clerk#000000532|0|slow dependencies. ironically reg
orders_67488|269890|6866|O|203156.38|1997-11-29|5-LOW          |Clerk#000000907|0|as haggle furiously. regular, pending pint
orders_67712|270786|1382|O|148013.80|1998-07-24|5-LOW          |Clerk#000000439|0|s cajole. blithely bo
orders_67775|271041|12824|F|316968.84|1993-06-23|4-NOT SPECIFIED|Clerk#000000351|0| according to the bl
orders_67899|271525|11021|O|210493.24|1997-04-04|1-URGENT       |Clerk#000000610|0|bold accounts. furiously even theo
orders_68255|272961|2122|F|115949.64|1994-04-24|1-URGENT       |Clerk#000000220|0|ing requests wake blithel
orders_69229|276838|5171|F|108667.51|1994-10-06|4-NOT SPECIFIED|Clerk#000000529|0|he bold, final platelets. fluffily 
orders_70003|279940|3968|O|121771.71|1997-08-10|2-HIGH         |Clerk#000000893|0|efully unusual accounts. blithely even pl
orders_71346|285317|8191|O|108820.93|1997-10-14|3-MEDIUM       |Clerk#000000792|0|ackages. slyly final deposit
orders_72066|288197|6839|O|155717.74|1996-07-13|5-LOW          |Clerk#000000937|0|fully ironic pinto beans are fluffily aga
orders_72428|289639|409|F|164712.08|1993-12-31|1-URGENT       |Clerk#000000349|0|s above the slyly speci
orders_73573|294240|340|O|21605.27|1996-11-04|5-LOW          |Clerk#000000654|0|ilent packages are 
orders_73881|295460|7097|O|5071.21|1996-01-29|2-HIGH         |Clerk#000000033|0|atelets. special escapades h
orders_74807|299170|14545|F|27377.66|1993-08-22|5-LOW          |Clerk#000000443|0|o beans: slyly unus
orders_75064|300195|3497|P|215687.62|1995-03-21|3-MEDIUM       |Clerk#000000653|0|ermanently silent t
orders_76155|304550|14060|F|69722.17|1992-03-14|2-HIGH         |Clerk#000000872|0|unusual instructions
orders_76359|305378|12529|F|14324.89|1993-02-12|1-URGENT       |Clerk#000000596|0|bold pinto beans boost along
orders_76810|307173|13924|F|56161.59|1993-04-27|3-MEDIUM       |Clerk#000000333|0|oss the ironic ideas. regular 
orders_76859|307366|14923|F|32658.72|1992-10-31|4-NOT SPECIFIED|Clerk#000000149|0|ffily unusual sentiments. brave foxes wake flu
orders_78254|312961|3343|F|56236.26|1994-10-06|1-URGENT       |Clerk#000000935|0|cies. special accounts are carefully 
orders_80573|322241|14291|F|172975.56|1992-05-20|1-URGENT       |Clerk#000000581|0|timents boost carefully final instructions. f
orders_81146|324517|9802|O|265625.69|1997-12-30|2-HIGH         |Clerk#000000887|0|, even deposits wak
orders_81455|325761|4547|F|121905.49|1994-03-18|5-LOW          |Clerk#000000914|0|lar deposits. furious
orders_82594|330310|2066|F|178443.94|1993-08-27|1-URGENT       |Clerk#000000579|0|ons. carefully spec
orders_82854|331362|5045|O|143899.57|1996-05-21|4-NOT SPECIFIED|Clerk#000000756|0|ld platelets. carefully
orders_82903|331555|7705|F|213818.61|1992-08-21|5-LOW          |Clerk#000000294|0|d requests. furiously even instru
orders_83579|334246|10048|O|9177.10|1996-03-03|3-MEDIUM       |Clerk#000000948|0|final pinto beans cajole blith
orders_83880|335459|4426|F|251636.91|1994-10-09|2-HIGH         |Clerk#000000745|0|pinto beans cajole bli
orders_84096|336323|6491|F|68979.48|1993-11-17|1-URGENT       |Clerk#000000443|0|yly even deposits. 
orders_84394|337509|772|O|91495.79|1996-04-06|4-NOT SPECIFIED|Clerk#000000585|0|es wake slyly carefully pending the
orders_84497|337924|577|F|48236.63|1994-06-06|4-NOT SPECIFIED|Clerk#000000282|0|ly alongside of the bold req
orders_84659|338566|1810|O|70748.16|1997-10-27|5-LOW          |Clerk#000000238|0|ular ideas above the
orders_85374|341441|12607|O|207948.59|1997-11-30|4-NOT SPECIFIED|Clerk#000000890|0|he slyly ironic platelet
orders_85638|342497|5227|O|119530.62|1996-08-16|2-HIGH         |Clerk#000000202|0|. even excuses are.
orders_85938|343685|1277|F|283632.26|1994-09-07|3-MEDIUM       |Clerk#000000144|0|es. regular requests c
orders_86096|344323|13828|O|72245.22|1995-06-26|5-LOW          |Clerk#000000078|0|ully regular, express
orders_86818|347205|412|O|147239.44|1996-08-25|4-NOT SPECIFIED|Clerk#000000071|0| pains around the ev
orders_86915|347590|3160|O|245557.22|1996-11-17|5-LOW          |Clerk#000000078|0| never regular requ
orders_87794|351109|6742|O|66203.38|1995-09-12|2-HIGH         |Clerk#000000903|0|ayers are slyly carefully r
orders_88620|354407|1492|F|42645.38|1994-03-24|1-URGENT       |Clerk#000000029|0|kages sleep accounts. s
orders_89440|357699|11533|F|24259.35|1993-02-04|3-MEDIUM       |Clerk#000000745|0|against the enticingly
orders_89904|359557|7663|O|59693.76|1997-07-04|5-LOW          |Clerk#000000196|0|gainst the blithely regu
orders_90062|360195|11153|F|209727.64|1992-09-25|3-MEDIUM       |Clerk#000000397|0|. carefully ironic pac
orders_90373|361442|1088|F|29242.98|1994-11-10|1-URGENT       |Clerk#000000976|0|. slyly ironic requests above the
orders_90472|361829|13099|O|45684.47|1997-07-23|1-URGENT       |Clerk#000000253|0|nd the slyly express 
orders_91249|364933|3397|F|214793.06|1992-06-22|4-NOT SPECIFIED|Clerk#000000114|0|pades around the fluffil
orders_91403|365543|6988|O|117427.91|1997-11-25|1-URGENT       |Clerk#000000508|0|ly regular accounts. slyly f
orders_91562|366182|3622|P|356274.53|1995-04-19|1-URGENT       |Clerk#000000985|0|ully final foxes afte
orders_91971|367815|7417|F|220705.85|1993-06-03|1-URGENT       |Clerk#000000396|0|slyly blithely final depo
orders_92433|369669|3170|F|267987.42|1994-04-30|4-NOT SPECIFIED|Clerk#000000688|0|e fluffily blithely special instruction
orders_93361|373382|7783|O|274201.86|1996-01-25|5-LOW          |Clerk#000000446|0|thely blithely even ideas;
orders_94257|376966|10865|F|141116.40|1992-11-01|1-URGENT       |Clerk#000000754|0|could thrash quickly
orders_95069|380226|8053|F|155512.50|1992-05-03|4-NOT SPECIFIED|Clerk#000000383|0|efully. slyly special instru
orders_95468|381825|3886|F|119393.62|1994-01-21|3-MEDIUM       |Clerk#000000351|0|fluffily quickly ironic accounts.
orders_95776|383045|2684|P|41460.07|1995-03-16|3-MEDIUM       |Clerk#000000596|0|l asymptotes. unusu
orders_95828|383265|1342|O|59498.87|1996-01-13|3-MEDIUM       |Clerk#000000335|0|e the quickly pending accounts. quickly darin
orders_95999|383940|10573|F|40058.54|1993-04-27|3-MEDIUM       |Clerk#000000808|0|lly. final packages sl
orders_96651|386560|883|F|118814.35|1994-07-07|4-NOT SPECIFIED|Clerk#000000323|0|posits beyond the blith
orders_96755|386976|1225|O|42894.57|1996-05-03|3-MEDIUM       |Clerk#000000558|0|along the slyly pending tithes.
orders_97008|387973|5366|O|57017.99|1997-06-21|3-MEDIUM       |Clerk#000000802|0|sts. ironic excuses detect a
orders_97213|388802|7061|F|47925.60|1992-01-15|3-MEDIUM       |Clerk#000000611|0| silently ironic requests along the furiously even gifts
orders_97576|390245|9074|O|24686.83|1996-02-14|4-NOT SPECIFIED|Clerk#000000547|0|ven deposits integrate express requests. packag
orders_97937|391686|13765|F|47806.07|1992-09-15|1-URGENT       |Clerk#000000339|0| special deposits. pendin
orders_98879|395460|10921|F|70784.36|1994-02-02|4-NOT SPECIFIED|Clerk#000000399|0|. ironic accounts do
orders_99135|396484|8071|O|148986.88|1995-09-24|1-URGENT       |Clerk#000000827|0|equests on the furiously special a
orders_99699|398752|14737|O|224923.33|1996-08-03|2-HIGH         |Clerk#000000743|0|into beans above the s
orders_99753|398950|7624|O|41776.79|1997-06-20|3-MEDIUM       |Clerk#000000220|0|e final, bold asymptotes
orders_99907|399584|14933|F|148573.31|1993-06-24|1-URGENT       |Clerk#000000440|0|. ironic instructions wak
orders_100883|403488|1075|O|232683.55|1998-07-21|2-HIGH         |Clerk#000000183|0|refully slyly ironic i
orders_102520|410021|10360|F|26429.95|1994-09-13|1-URGENT       |Clerk#000000498|0|ages are furiously. d
orders_103196|412737|3323|F|153707.02|1994-06-20|3-MEDIUM       |Clerk#000000510|0| slyly final depend
orders_103208|412773|2470|O|90535.91|1996-03-24|2-HIGH         |Clerk#000000852|0|ecial theodolites n
orders_103380|413473|11960|F|102180.56|1994-02-10|3-MEDIUM       |Clerk#000000891|0|ccounts near the blit
orders_103826|415239|431|F|27455.91|1994-04-01|1-URGENT       |Clerk#000000958|0|ans. slyly regular requests cajole caref
orders_103979|415872|6763|O|91600.91|1996-03-12|5-LOW          |Clerk#000000124|0| final pinto beans haggle arou
orders_104344|417317|9260|O|237539.50|1996-04-07|5-LOW          |Clerk#000000905|0|ely even packages. i
orders_104911|419588|9947|O|89148.05|1997-08-18|5-LOW          |Clerk#000000773|0|ajole fluffily. furio
orders_105534|422083|9205|O|246465.28|1998-02-15|2-HIGH         |Clerk#000000016|0|ay blithely furiousl
orders_105587|422304|10811|F|173423.97|1992-03-13|5-LOW          |Clerk#000000974|0| furiously special accoun
orders_105629|422466|10156|F|219590.09|1995-02-23|2-HIGH         |Clerk#000000720|0|ess accounts mold according to the sly, 
orders_105835|423296|5129|F|130346.65|1994-01-24|5-LOW          |Clerk#000000054|0| are against the fluffily final depths. furiously iro
orders_106147|424544|10390|F|194038.86|1992-01-21|3-MEDIUM       |Clerk#000000625|0|enticing deposits. i
orders_106455|425764|3994|F|46805.50|1994-08-10|2-HIGH         |Clerk#000000802|0|usual packages. car
orders_106501|425954|12907|O|110336.28|1995-06-11|5-LOW          |Clerk#000000961|0|latelets use. unusual pint
orders_107737|430886|1996|F|108104.31|1994-12-08|3-MEDIUM       |Clerk#000000624|0|gular theodolites cajole ca
orders_108244|432933|4804|O|135577.85|1995-08-31|2-HIGH         |Clerk#000000462|0|l courts nag regular request
orders_109376|437473|13846|O|67751.99|1996-06-05|5-LOW          |Clerk#000000093|0| dependencies sleep ag
orders_109532|438085|5345|O|248119.58|1998-01-18|3-MEDIUM       |Clerk#000000317|0|ironic packages hag
orders_110680|442689|11240|O|30046.05|1997-10-01|1-URGENT       |Clerk#000000244|0|regular packages acr
orders_110866|443427|12862|O|222048.10|1995-08-13|4-NOT SPECIFIED|Clerk#000000457|0|r the final excuses. furi
orders_112976|451873|8591|F|45990.28|1993-10-12|2-HIGH         |Clerk#000000922|0|gular requests cajo
orders_113026|452067|9767|O|52727.42|1996-08-29|5-LOW          |Clerk#000000924|0| carefully ironic instructions caj
